time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Bullish Directional Shift,Bearish Directional Shift,Fast EMA,Slow EMA,Trend EMA,Long Signal,Short Signal,Bars In Trade
2026-09-15T15:05:00-04:00,4305.07,4305.53,4302.62,4304.27,4305.07,4305.53,4302.62,4304.27,0,0,4305.663846894618,4303.96979646158,4292.365428630467,0,0,
2026-09-15T15:10:00-04:00,4304.26,4304.54,4300.3,4300.3,4304.26,4304.54,4300.3,4300.3,0,0,4303.875897929745,4303.445539824212,4292.522548855606,0,0,
2026-09-15T15:15:00-04:00,4300.28,4302.31,4299.49,4300.23,4300.28,4302.31,4299.49,4300.23,0,0,4302.66059861983,4302.986176992182,4292.675171650545,0,0,
2026-09-15T15:20:00-04:00,4300.23,4301.66,4298.26,4301.32,4300.23,4301.66,4298.26,4301.32,0,0,4302.21373241322,4302.748151707584,4292.846356370336,0,0,
2026-09-15T15:25:00-04:00,4301.33,4301.7,4300.21,4301.14,4301.33,4301.7,4300.21,4301.14,0,0,4301.855821608813,4302.518415749358,4293.01058693726,0,0,
2026-09-15T15:30:00-04:00,4301.14,4302.49,4298.83,4299.54,4301.14,4302.49,4298.83,4299.54,0,0,4301.083881072542,4302.092927785164,4293.139882245433,0,0,
2026-09-15T15:35:00-04:00,4299.56,4299.94,4298.48,4299.04,4299.56,4299.94,4298.48,4299.04,0,0,4300.4025873816945,4301.656795244426,4293.256716260375,0,0,
2026-09-15T15:40:00-04:00,4299.04,4299.07,4296.83,4296.86,4299.04,4299.07,4296.83,4296.86,0,1,4299.22172492113,4300.9715387809365,4293.328068413634,0,0,
2026-09-15T15:45:00-04:00,4296.88,4299.73,4296.25,4298.97,4296.88,4299.73,4296.25,4298.97,0,0,4299.137816614087,4300.685604669374,4293.439789831186,0,0,
2026-09-15T15:50:00-04:00,4298.97,4299.84,4295.88,4296.75,4298.97,4299.84,4295.88,4296.75,0,0,4298.341877742724,4300.123375430891,4293.5053385474,0,0,
2026-09-15T15:55:00-04:00,4296.74,4298.18,4294.31,4297.8,4296.74,4298.18,4294.31,4297.8,0,0,4298.161251828483,4299.79146465505,4293.590381348442,0,0,
2026-09-15T16:00:00-04:00,4297.78,4299.09,4296.44,4296.61,4297.78,4299.09,4296.44,4296.61,0,0,4297.644167885655,4299.336969704328,4293.650175777186,0,0,
2026-09-15T16:05:00-04:00,4296.64,4298.34,4295.95,4297.86,4296.64,4298.34,4295.95,4297.86,0,0,4297.71611192377,4299.125974032281,4293.733538633083,0,0,
2026-09-15T16:10:00-04:00,4297.86,4298.65,4295.74,4296.37,4297.86,4298.65,4295.74,4296.37,0,0,4297.26740794918,4298.732263456241,4293.785745788864,0,0,
2026-09-15T16:15:00-04:00,4296.37,4296.71,4295.41,4296.16,4296.37,4296.71,4295.41,4296.16,0,0,4296.89827196612,4298.364797248206,4293.832760723738,0,0,
