tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
15,pct,0.1,1.0,3,0.5,off,none,61,38,23,0.7213114754098361,2180.0920100000076,0.0,2180.0920100000076,0.0,2.597539759236205,0.4426229508196738,172.24755999998888,0.4262295081967213,0.7213114754098361,0.2786885245901639,0.0,0.0,0.639344262295082,35.73921327868865
15,pct,0.1,1.0,3,0.5,off,exchange,61,38,23,0.04918032786885246,2073.3535699999775,5067.889076405,-2994.5355064050223,1.0289261523567925,3.987424205597252e-05,-0.6135754873560073,2994.5355064050236,0.4262295081967213,0.7049180327868853,0.29508196721311475,0.0,0.0,0.639344262295082,-49.09074600663971
15,pct,0.1,1.0,3,0.5,off,cfd_std,61,38,23,0.6885245901639344,2156.3846499999636,1080.0,1076.3846499999636,0.21607270976327372,1.5565684307826044,0.2154306302668717,309.33273000002373,0.45901639344262296,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,17.645649999999403
15,pct,0.1,1.0,3,0.5,off,cfd_raw,61,38,23,0.6885245901639344,2040.8241499999567,1006.0,1034.8241499999567,0.2028311694819646,1.551176335341433,0.20700230656841348,323.8382300000085,0.47540983606557374,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,16.964330327868144
15,pct,0.1,1.0,3,0.5,bar,none,61,38,23,0.7213114754098361,2180.0920100000076,0.0,2180.0920100000076,0.0,2.597539759236205,0.4426229508196738,172.24755999998888,0.4262295081967213,0.7213114754098361,0.2786885245901639,0.0,0.0,0.639344262295082,35.73921327868865
15,pct,0.1,1.0,3,0.5,bar,exchange,61,38,23,0.04918032786885246,2073.3535699999775,5067.889076405,-2994.5355064050223,1.0289261523567925,3.987424205597252e-05,-0.6135754873560073,2994.5355064050236,0.4262295081967213,0.7049180327868853,0.29508196721311475,0.0,0.0,0.639344262295082,-49.09074600663971
15,pct,0.1,1.0,3,0.5,bar,cfd_std,61,38,23,0.6885245901639344,2156.3846499999636,1080.0,1076.3846499999636,0.21607270976327372,1.5565684307826044,0.2154306302668717,309.33273000002373,0.45901639344262296,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,17.645649999999403
15,pct,0.1,1.0,3,0.5,bar,cfd_raw,61,38,23,0.6885245901639344,2040.8241499999567,1006.0,1034.8241499999567,0.2028311694819646,1.551176335341433,0.20700230656841348,323.8382300000085,0.47540983606557374,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,16.964330327868144
15,pct,0.1,1.0,3,0.5,tick,none,61,38,23,0.7213114754098361,2180.0920100000076,0.0,2180.0920100000076,0.0,2.597539759236205,0.4426229508196738,172.24755999998888,0.4262295081967213,0.7213114754098361,0.2786885245901639,0.0,0.0,0.639344262295082,35.73921327868865
15,pct,0.1,1.0,3,0.5,tick,exchange,61,38,23,0.04918032786885246,2073.3535699999775,5067.889076405,-2994.5355064050223,1.0289261523567925,3.987424205597252e-05,-0.6135754873560073,2994.5355064050236,0.4262295081967213,0.7049180327868853,0.29508196721311475,0.0,0.0,0.639344262295082,-49.09074600663971
15,pct,0.1,1.0,3,0.5,tick,cfd_std,61,38,23,0.6885245901639344,2156.3846499999636,1080.0,1076.3846499999636,0.21607270976327372,1.5565684307826044,0.2154306302668717,309.33273000002373,0.45901639344262296,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,17.645649999999403
15,pct,0.1,1.0,3,0.5,tick,cfd_raw,61,38,23,0.6885245901639344,2040.8241499999567,1006.0,1034.8241499999567,0.2028311694819646,1.551176335341433,0.20700230656841348,323.8382300000085,0.47540983606557374,0.6885245901639344,0.3114754098360656,0.0,0.0,0.639344262295082,16.964330327868144
15,pct,0.1,1.0,3,1.0,off,none,16,4,12,0.75,639.5939899999939,0.0,639.5939899999939,0.0,2.9963609144817123,0.4999999999999944,243.90417999999772,0.5,0.75,0.25,0.0,0.0,0.5,39.97462437499962
