time,open,high,low,close,Swing High,Swing Low,Trail
2026-09-15T23:45:00-04:00,75738.97,75779.97,75711.12,75767.48,76039.22,75410.73,
2026-09-16T00:00:00-04:00,75767.48,75863.66,75765.2,75834.55,76039.22,75410.73,
2026-09-16T00:15:00-04:00,75834.55,75931.17,75783.55,75822.73,76039.22,75410.73,
2026-09-16T00:30:00-04:00,75825.47,75967.41,75800.41,75875.85,76039.22,75410.73,
2026-09-16T00:45:00-04:00,75875.85,75916.05,75753,75812.06,76039.22,75410.73,
2026-09-16T01:00:00-04:00,75812.06,75821.55,75628.15,75746.7,76039.22,75410.73,
2026-09-16T01:15:00-04:00,75746.57,75860.46,75746.17,75827.33,76039.22,75410.73,
2026-09-16T01:30:00-04:00,75827.71,75922.85,75779.71,75910.83,76039.22,75410.73,
2026-09-16T01:45:00-04:00,75910.84,75911.7,75835.23,75908.62,76039.22,75410.73,
2026-09-16T02:00:00-04:00,75908.38,75973.36,75907.61,75942.13,76039.22,75410.73,
2026-09-16T02:15:00-04:00,75941.99,75960.8,75835.14,75861.46,76039.22,75628.15,
2026-09-16T02:30:00-04:00,75861.6,75890.75,75772.49,75876.81,76039.22,75628.15,
2026-09-16T02:45:00-04:00,75876.21,75975.43,75870.23,75974.56,76039.22,75628.15,
2026-09-16T03:00:00-04:00,75974.64,76038.67,75766.71,75823.27,76039.22,75628.15,
2026-09-16T03:15:00-04:00,75823.27,75870.65,75755.05,75764.26,76039.22,75628.15,
2026-09-16T03:30:00-04:00,75764.26,75855.15,75723.39,75762.88,76039.22,75628.15,
2026-09-16T03:45:00-04:00,75762.86,75838.11,75688.07,75715.29,76039.22,75628.15,
2026-09-16T04:00:00-04:00,75715.29,75715.36,75420.59,75468.04,76039.22,75628.15,
2026-09-16T04:15:00-04:00,75467.56,75576.88,75307.73,75390.39,76038.67,75628.15,
2026-09-16T04:30:00-04:00,75390.67,75519.36,75376.06,75504.25,76038.67,75628.15,
2026-09-16T04:45:00-04:00,75504.25,75678.34,75489.76,75678.34,76038.67,75628.15,
2026-09-16T05:00:00-04:00,75676.71,75892.41,75674.54,75742.45,76038.67,75628.15,
2026-09-16T05:15:00-04:00,75742.56,75821.07,75707.74,75779.32,76038.67,75628.15,
2026-09-16T05:30:00-04:00,75778.98,75882.82,75776.95,75865,76038.67,75307.73,
2026-09-16T05:45:00-04:00,75865,75937.14,75835.46,75935.79,76038.67,75307.73,
2026-09-16T06:00:00-04:00,75935.35,75988.84,75876.4,75888.56,76038.67,75307.73,
2026-09-16T06:15:00-04:00,75888.55,75959.13,75867.48,75915.19,76038.67,75307.73,
2026-09-16T06:30:00-04:00,75915.19,75950.92,75887.45,75930.94,76038.67,75307.73,
2026-09-16T06:45:00-04:00,75931.44,75932.75,75844.12,75894.73,76038.67,75307.73,
2026-09-16T07:00:00-04:00,75895.8,75993.03,75854.34,75859.29,76038.67,75307.73,
2026-09-16T07:15:00-04:00,75859.85,75936.45,75827.08,75922.93,76038.67,75307.73,
2026-09-16T07:30:00-04:00,75922.78,76215.29,75903.05,76180.21,76038.67,75307.73,
