time,open,high,low,close,Swing High,Swing Low,Trail
2026-09-11T04:30:00-04:00,77355.84,77468.47,77307.32,77333.35,77515.87,76484.64,
2026-09-11T05:00:00-04:00,77333.13,77341.27,77119.23,77119.74,77515.87,76484.64,
2026-09-11T05:30:00-04:00,77119.74,77138.35,76839,77022.73,77515.87,76484.64,
2026-09-11T06:00:00-04:00,77022.73,77132.82,76975.23,77010.75,77515.87,76484.64,
2026-09-11T06:30:00-04:00,77010.75,77028.67,76938.23,76970.31,77515.87,76484.64,
2026-09-11T07:00:00-04:00,76971.58,76971.58,76733.75,76820.78,77468.47,76484.64,
2026-09-11T07:30:00-04:00,76820.78,77016.65,76771.2,77015.51,77468.47,76484.64,
2026-09-11T08:00:00-04:00,77015.13,77356.15,76874.19,77095.14,77468.47,76484.64,
2026-09-11T08:30:00-04:00,77095.14,78092.92,76125.57,77995.62,77468.47,76484.64,
2026-09-11T09:00:00-04:00,77995.59,77996.63,77488.25,77506.61,77468.47,76484.64,
2026-09-11T09:30:00-04:00,77506.64,79278.56,77238.84,79202.22,77468.47,76484.64,
2026-09-11T10:00:00-04:00,79201.14,79790.7,78803.58,79017.48,77468.47,76484.64,
2026-09-11T10:30:00-04:00,79017.34,79017.88,78488.45,78767.64,77468.47,76484.64,
2026-09-11T11:00:00-04:00,78767.64,78793.21,78468.31,78689.29,77468.47,76125.57,
2026-09-11T11:30:00-04:00,78689.28,78803.82,77328.05,77702.42,77468.47,76125.57,
2026-09-11T12:00:00-04:00,77702.42,78030.31,77366.73,77641.49,77468.47,76125.57,
2026-09-11T12:30:00-04:00,77641.86,77962.29,77521.76,77893.34,79790.7,76125.57,
2026-09-11T13:00:00-04:00,77893.34,77930.74,77674.96,77808.83,79790.7,76125.57,
2026-09-11T13:30:00-04:00,77808.83,77845.02,77467.11,77504.15,79790.7,76125.57,
2026-09-11T14:00:00-04:00,77503.88,77509.25,76869.07,77182.93,79790.7,76125.57,
2026-09-11T14:30:00-04:00,77182.92,77258.49,76927.7,77020.73,79790.7,76125.57,
2026-09-11T15:00:00-04:00,77020.77,77262.94,76982.71,77210.24,79790.7,76125.57,
2026-09-11T15:30:00-04:00,77210.41,77343.82,77170.87,77260.75,79790.7,76125.57,
2026-09-11T16:00:00-04:00,77261.27,77457,77255.99,77360.15,79790.7,76125.57,
