time,open,high,low,close,Swing High,Swing Low,Trail,Fast,Slow
2026-09-16T03:50:00-04:00,75869.32,75869.33,75808.34,75810.52,76084.32,75827.21,,45.77407132350511,45.084904454346706
2026-09-16T03:55:00-04:00,75810.51,75817.28,75753.55,75774.31,76084.32,75827.21,,42.53659586811802,44.676205866434636
2026-09-16T04:00:00-04:00,75773.79,75773.81,75676.4,75676.4,76084.32,75827.21,,38.54835304397032,43.60573326475612
2026-09-16T04:05:00-04:00,75676.41,75676.41,75479.06,75538.7,76084.32,75827.21,,32.69103137966892,41.64990516529556
2026-09-16T04:10:00-04:00,75538.69,75601.94,75501.59,75534.61,76084.32,75827.21,,29.56177443153888,38.85398757306309
2026-09-16T04:15:00-04:00,75523.47,75635.7,75475,75522.08,76084.32,75827.21,,29.22200724615442,36.67586895260195
2026-09-16T04:20:00-04:00,75522.09,75594.02,75408.36,75417.69,76084.32,75827.21,,26.988555538584265,33.41624214212376
2026-09-16T04:25:00-04:00,75408.37,75453.14,75359,75451.63,76084.32,75827.21,,26.722482361245625,31.232557820527813
2026-09-16T04:30:00-04:00,75434.3,75506.32,75431.28,75483.05,76084.32,75827.21,,29.985218807588474,29.83013441054388
2026-09-16T04:35:00-04:00,75483.04,75554.53,75481.78,75548.29,76084.32,75827.21,,34.57084280289452,30.096126323077584
2026-09-16T04:40:00-04:00,75548.3,75577.4,75526.45,75560.18,76084.32,75827.21,,38.13473167251725,31.385477351357697
2026-09-16T04:45:00-04:00,75560.17,75580.96,75542.9,75566.25,76084.32,75827.21,,38.9529961911695,32.77933254011491
2026-09-16T04:50:00-04:00,75566.22,75625,75562.75,75624.99,76084.32,75359,,41.92372343905198,35.01453912075699
2026-09-16T04:55:00-04:00,75625,75738.1,75624.99,75738.09,76084.32,75359,,48.89899073774938,39.03945688273351
2026-09-16T05:00:00-04:00,75738.1,75885.18,75733.77,75883.56,76084.32,75359,,57.32345502999493,43.757674168971086
