time,open,high,low,close,Volume
1974-10-14,71.169998,74.43,69.410004,72.279999,82880000
1974-10-21,72.279999,75.089996,68.800003,70.120003,75190000
1974-10-28,70.120003,75.900002,68.889999,73.879997,78590000
1974-11-04,73.800003,77.410004,71.93,74.910004,85670000
1974-11-11,74.910004,75.699997,71.410004,71.910004,70320000
1974-11-18,71.099998,71.099998,66.849998,68.900002,70220000
1974-11-25,68.900002,71.309998,67.790001,69.970001,47110000
1974-12-02,69.800003,69.800003,64.400002,65.010002,65730000
1974-12-09,65.010002,69.029999,64.129997,67.07,75440000
1974-12-16,67.07,69.010002,65.860001,66.910004,82040000
1974-12-23,66.910004,68.190002,65.339996,67.139999,52450000
1974-12-30,67.139999,71.639999,66.230003,70.709999,69560000
1975-01-06,70.709999,73.75,69.040001,72.610001,90270000
1975-01-13,72.610001,73.809998,70.449997,70.959999,84340000
1975-01-20,70.959999,73.57,69.800003,72.980003,82190000
1975-01-27,73.760002,78.690002,73.760002,76.980003,145680000
1975-02-03,76.980003,80.720001,76,78.629997,127350000
1975-02-10,78.629997,82.529999,77.379997,81.5,110830000
1975-02-17,81.5,83.559998,79.830002,82.620003,92620000
1975-02-24,82.620003,82.709999,78.910004,81.589996,92840000
1975-03-03,81.589996,85.43,81.32,84.300003,130070000
1975-03-10,84.300003,85.889999,82.519997,84.760002,122190000
1975-03-17,84.760002,87.080002,82.519997,83.389999,111890000
1975-03-24,82.389999,84.879997,80.080002,83.849998,73190000
1975-03-31,83.849998,84.620003,80.290001,80.879997,74440000
1975-04-07,80.879997,84.699997,79.660004,84.18,91450000
1975-04-14,84.18,88.790001,83.980003,86.300003,138650000
1975-04-21,86.300003,88.639999,85,86.620003,109430000
1975-04-28,86.620003,89.980003,85,89.220001,99520000
1975-05-05,89.220001,91.239998,87.599998,90.529999,121450000
1975-05-12,90.529999,93.510002,89.739998,90.43,120730000
1975-05-19,90.43,91.449997,88.349998,90.580002,89300000
1975-05-26,90.580002,91.620003,88.830002,91.150002,80140000
1975-06-02,91.32,93.760002,91.32,92.480003,123540000
1975-06-09,92.480003,92.870003,89.300003,90.519997,92300000
1975-06-16,90.519997,93.75,89.599998,92.610001,99400000
1975-06-23,92.610001,95.720001,91.809998,94.809998,112330000
1975-06-30,94.809998,95.849998,93.370003,94.360001,77350000
1975-07-07,94.360001,96.190002,92.510002,94.660004,112280000
