time,open,high,low,close,Volume
2024-01-09T11:30:00-05:00,4749.76,4765.47,4747.57,4755.27,398006730
2024-01-09T13:30:00-05:00,4755.22,4762.74,4748.65,4754.3,430866430
2024-01-09T15:30:00-05:00,4754.28,4758.38,4746.94,4756.51,674032890
2024-01-10T09:30:00-05:00,4759.94,4770.89,4756.2,4764.74,660208100
2024-01-10T11:30:00-05:00,4764.82,4775.55,4762.09,4769.66,374403540
2024-01-10T13:30:00-05:00,4769.71,4790.8,4769.45,4779.23,454729650
2024-01-10T15:30:00-05:00,4779.27,4785.01,4769.57,4783.46,644648760
2024-01-11T09:30:00-05:00,4794.33,4798.5,4742.24,4747.65,742495910
2024-01-11T11:30:00-05:00,4747.49,4766.7,4739.58,4764.53,419635900
2024-01-11T13:30:00-05:00,4764.54,4786.03,4762.97,4775.7,429714400
2024-01-11T15:30:00-05:00,4775.84,4783.31,4772.46,4780.23,689596230
2024-01-12T09:30:00-05:00,4792.27,4802.4,4768.98,4782.16,760613080
2024-01-12T11:30:00-05:00,4782.24,4784.31,4770.26,4782.29,399702530
2024-01-12T13:30:00-05:00,4782.28,4789.51,4774.15,4778.23,393281470
2024-01-12T15:30:00-05:00,4778.2,4785.35,4777.08,4783.84,646220050
2024-01-16T09:30:00-05:00,4768.58,4782.34,4751.88,4775.48,802089288
2024-01-16T11:30:00-05:00,4775.56,4780.36,4755.15,4766.05,441596290
2024-01-16T13:30:00-05:00,4766.08,4767.7,4747.12,4756.79,457628930
2024-01-16T15:30:00-05:00,4756.83,4766.42,4754.49,4765.99,779798260
2024-01-17T09:30:00-05:00,4734.15,4744.04,4726.12,4741.33,757021240
2024-01-17T11:30:00-05:00,4741.28,4744.23,4720.96,4722.98,406098440
2024-01-17T13:30:00-05:00,4722.92,4733.53,4714.82,4724.73,463320940
2024-01-17T15:30:00-05:00,4724.81,4741.91,4724.52,4739.22,644211570
2024-01-18T09:30:00-05:00,4760.1,4764.43,4749.91,4763.08,799821530
2024-01-18T11:30:00-05:00,4763.06,4766.1,4740.57,4743.24,480780110
2024-01-18T13:30:00-05:00,4743.23,4779.72,4742.94,4779.72,513887000
2024-01-18T15:30:00-05:00,4779.76,4785.79,4775.13,4780.95,715658810
2024-01-19T09:30:00-05:00,4799.33,4807.22,4785.87,4804.44,837764480
2024-01-19T11:30:00-05:00,4804.51,4825.63,4797.74,4825.21,477917550
2024-01-19T13:30:00-05:00,4825.33,4842.07,4825.33,4836.97,542921510
2024-01-19T15:30:00-05:00,4837.09,4840.12,4834.6,4839.82,847995960
2024-01-22T09:30:00-05:00,4853.42,4868.41,4847.19,4856.17,889850390
2024-01-22T11:30:00-05:00,4856.37,4857.63,4844.05,4844.79,445295080
2024-01-22T13:30:00-05:00,4844.69,4857.43,4844.55,4856.8,453343750
2024-01-22T15:30:00-05:00,4856.83,4857.39,4849.86,4850.44,729084760
2024-01-23T09:30:00-05:00,4856.8,4858.98,4844.8,4845.89,779136293
2024-01-23T11:30:00-05:00,4845.86,4855.32,4844.37,4852.95,429886170
2024-01-23T13:30:00-05:00,4853.06,4864.78,4851.14,4862.19,449237400
2024-01-23T15:30:00-05:00,4862.1,4866.48,4858.91,4864.61,660511530
2024-01-24T09:30:00-05:00,4888.56,4901.29,4880.06,4895.22,831740780
2024-01-24T11:30:00-05:00,4895.26,4903.68,4890.77,4895.93,490348240
2024-01-24T13:30:00-05:00,4895.94,4896.1,4869.76,4870.45,535321190
2024-01-24T15:30:00-05:00,4870.51,4879.46,4865.94,4868.54,730663440
2024-01-25T09:30:00-05:00,4886.66,4898.15,4882.81,4893.25,957488680
2024-01-25T11:30:00-05:00,4893.29,4896.09,4875.98,4877.99,569906580
2024-01-25T13:30:00-05:00,4877.99,4883.79,4869.34,4880.64,562799700
2024-01-25T15:30:00-05:00,4880.67,4895.04,4879.83,4894.17,756372040
2024-01-26T09:30:00-05:00,4888.91,4906.69,4885.86,4902.4,781217650
2024-01-26T11:30:00-05:00,4902.45,4904.43,4882.93,4889.23,447381230
2024-01-26T13:30:00-05:00,4889.38,4896.75,4881.47,4890.08,433332800
2024-01-26T15:30:00-05:00,4890.1,4892.67,4886.25,4890.96,650943340
2024-01-29T09:30:00-05:00,4892.05,4898.44,4887.4,4893.54,641287884
2024-01-29T11:30:00-05:00,4893.39,4901.48,4893.27,4899.89,406606990
2024-01-29T13:30:00-05:00,4899.91,4929.31,4896.77,4925.1,463000050
2024-01-29T15:30:00-05:00,4925.14,4929.03,4919.89,4927.94,715741790
2024-01-30T09:30:00-05:00,4924.81,4929.52,4918.78,4925.72,842201450
2024-01-30T11:30:00-05:00,4925.75,4930.05,4916.27,4924.07,479354170
2024-01-30T13:30:00-05:00,4924.11,4931.09,4919.95,4929.15,486420910
2024-01-30T15:30:00-05:00,4929.15,4929.63,4922.92,4924.96,671589200
2024-01-31T09:30:00-05:00,4899.19,4906.75,4879.14,4885.12,915236520
2024-01-31T11:30:00-05:00,4885.5,4892.25,4878.84,4886.88,458279710
2024-01-31T13:30:00-05:00,4886.84,4904.74,4852.16,4861.67,667273040
2024-01-31T15:30:00-05:00,4861.53,4862.42,4845.15,4845.66,1133331330
2024-02-01T09:30:00-05:00,4862.61,4876.59,4853.52,4860.59,899236070
2024-02-01T11:30:00-05:00,4860.68,4896.83,4860.68,4885.09,537894430
2024-02-01T13:30:00-05:00,4884.95,4904.44,4879.5,4901.81,530126160
2024-02-01T15:30:00-05:00,4901.86,4906.97,4895.79,4906.18,748914240
2024-02-02T09:30:00-05:00,4916.06,4944.48,4907.99,4944.41,964203410
2024-02-02T11:30:00-05:00,4944.18,4961.13,4938.36,4952.57,535373950
2024-02-02T13:30:00-05:00,4952.56,4975.29,4948.81,4973.87,513265800
2024-02-02T15:30:00-05:00,4973.88,4973.88,4958.36,4958.62,725445650
2024-02-05T09:30:00-05:00,4957.19,4957.19,4918.09,4928.3,846557590
2024-02-05T11:30:00-05:00,4928.24,4949.55,4928.21,4941.2,447581920
2024-02-05T13:30:00-05:00,4941.17,4956.34,4940.94,4951.65,456100240
2024-02-05T15:30:00-05:00,4951.68,4954.16,4942,4942.82,766276600
2024-02-06T09:30:00-05:00,4951.51,4957.77,4934.88,4947.23,764599330
2024-02-06T11:30:00-05:00,4947.28,4948.38,4935.43,4943.06,485763560
2024-02-06T13:30:00-05:00,4943.18,4949.94,4935.65,4946.1,475185850
2024-02-06T15:30:00-05:00,4946.06,4954.48,4941.01,4954.24,683923940
2024-02-07T09:30:00-05:00,4976.75,4995.04,4969.05,4986.05,843980560
2024-02-07T11:30:00-05:00,4986.13,4996.45,4982.88,4996.45,452236490
2024-02-07T13:30:00-05:00,4997.12,4999.89,4991.66,4996.51,471138990
2024-02-07T15:30:00-05:00,4996.62,4997.73,4991.02,4995.05,753430080
2024-02-08T09:30:00-05:00,4995.16,4997.49,4987.09,4987.46,770337450
2024-02-08T11:30:00-05:00,4987.42,4996.46,4987.11,4994.37,445215800
2024-02-08T13:30:00-05:00,4994.37,4999.68,4989.76,4998.35,487743390
2024-02-08T15:30:00-05:00,4998.34,5000.4,4992.86,4997.92,693412440
2024-02-09T09:30:00-05:00,5004.17,5015.9,5000.34,5011.14,731306970
2024-02-09T11:30:00-05:00,5011.2,5021.81,5007.32,5021.15,451352330
2024-02-09T13:30:00-05:00,5021.18,5030.06,5018.98,5024.98,435465310
2024-02-09T15:30:00-05:00,5024.72,5027.09,5020.84,5026.62,653507510
2024-02-12T09:30:00-05:00,5026.82,5042.78,5023.98,5042.13,644764263
2024-02-12T11:30:00-05:00,5042.32,5048.39,5039.25,5039.32,412168350
2024-02-12T13:30:00-05:00,5039.29,5039.44,5016.83,5023.09,441340870
2024-02-12T15:30:00-05:00,5023.11,5025.85,5019.24,5021.83,648283040
2024-02-13T09:30:00-05:00,4954.6,4970.19,4945.53,4968.67,814613937
2024-02-13T11:30:00-05:00,4968.64,4971.3,4953.3,4955.59,404162750
2024-02-13T13:30:00-05:00,4955.56,4955.87,4920.31,4926.4,502623880
2024-02-13T15:30:00-05:00,4926.3,4953.78,4925.24,4953.16,735736470
2024-02-14T09:30:00-05:00,4978.98,4991.85,4963.98,4974.11,689128290
2024-02-14T11:30:00-05:00,4974.17,4977.29,4956.45,4971.17,404380950
2024-02-14T13:30:00-05:00,4971.33,4993.98,4965.19,4992.4,443647830
2024-02-14T15:30:00-05:00,4992.48,5002.52,4987.48,5000.63,712743710
2024-02-15T09:30:00-05:00,5004.86,5016.47,4999.44,5005.78,784177080
2024-02-15T11:30:00-05:00,5005.76,5025.53,5004.63,5025.49,442940230
2024-02-15T13:30:00-05:00,5025.53,5032.72,5020.82,5027.26,455076190
2024-02-15T15:30:00-05:00,5027.17,5031.06,5022.58,5029.72,688290600
2024-02-16T09:30:00-05:00,5029.46,5030.84,4999.52,5029.49,668560794
2024-02-16T11:30:00-05:00,5029.52,5035.2,5018.03,5026.79,392400780
2024-02-16T13:30:00-05:00,5026.71,5038.7,5010.75,5016.11,416247120
2024-02-16T15:30:00-05:00,5016.35,5017.21,5000.51,5005.56,696521000
2024-02-20T09:30:00-05:00,4985.57,4993.71,4967.4,4979.01,733428337
2024-02-20T11:30:00-05:00,4979.01,4979.31,4955.02,4961.87,413657060
2024-02-20T13:30:00-05:00,4961.87,4978.36,4957.72,4976.96,411244400
2024-02-20T15:30:00-05:00,4977.77,4978.04,4961.6,4975.52,728886600
2024-02-21T09:30:00-05:00,4961.65,4972.8,4958.34,4967.94,640143451
2024-02-21T11:30:00-05:00,4967.91,4970.41,4954.27,4962.35,407800640
2024-02-21T13:30:00-05:00,4962.43,4969.79,4946,4953.76,435258820
2024-02-21T15:30:00-05:00,4953.84,4983.21,4953.84,4981.81,654762710
2024-02-22T09:30:00-05:00,5051.37,5066.88,5040.52,5063.98,845434690
2024-02-22T11:30:00-05:00,5063.97,5078.19,5059.63,5077.87,443339160
2024-02-22T13:30:00-05:00,5077.95,5094.39,5077.27,5087.29,471438140
2024-02-22T15:30:00-05:00,5087.4,5092.87,5083.85,5087.02,757081140
2024-02-23T09:30:00-05:00,5101.08,5111.06,5081.46,5091.61,701807335
2024-02-23T11:30:00-05:00,5091.68,5100.07,5087.75,5099.3,392947620
2024-02-23T13:30:00-05:00,5099.31,5100.5,5086.73,5089.04,378537570
2024-02-23T15:30:00-05:00,5089.05,5097.19,5087.2,5088.79,678416290
2024-02-26T09:30:00-05:00,5092.53,5097.66,5080.28,5083.67,631632952
2024-02-26T11:30:00-05:00,5083.64,5088.69,5074.95,5076.1,415931030
2024-02-26T13:30:00-05:00,5076.18,5083.27,5070.27,5078.36,419068340
2024-02-26T15:30:00-05:00,5078.43,5079.39,5068.91,5069.54,650948140
2024-02-27T09:30:00-05:00,5075.52,5075.91,5064.13,5066.22,681409520
2024-02-27T11:30:00-05:00,5066.22,5069.54,5057.29,5061.95,405298490
2024-02-27T13:30:00-05:00,5061.94,5077.94,5061.05,5076.96,429288040
2024-02-27T15:30:00-05:00,5076.97,5080.69,5073.82,5078.17,588008490
2024-02-28T09:30:00-05:00,5064.81,5077.37,5058.35,5073.74,643624140
2024-02-28T11:30:00-05:00,5073.8,5076.58,5063.6,5073.74,376018730
2024-02-28T13:30:00-05:00,5073.69,5076.61,5061.1,5070.52,410625610
2024-02-28T15:30:00-05:00,5070.5,5070.73,5062.62,5069.77,600305080
2024-02-29T09:30:00-05:00,5085.36,5096.35,5077.09,5079.96,691819123
2024-02-29T11:30:00-05:00,5079.89,5086.67,5061.89,5085.9,420450570
2024-02-29T13:30:00-05:00,5085.95,5090.93,5080.34,5089.6,432046510
2024-02-29T15:30:00-05:00,5089.55,5104.99,5089.46,5096.28,1455316690
2024-03-01T09:30:00-05:00,5098.98,5121.68,5094.16,5116.36,775797757
2024-03-01T11:30:00-05:00,5116.51,5130.28,5111.14,5129.76,430751510
2024-03-01T13:30:00-05:00,5129.72,5140.33,5128.25,5136.83,466286570
2024-03-01T15:30:00-05:00,5136.92,5139.02,5134.29,5137.07,687325410
2024-03-04T09:30:00-05:00,5130.39,5136.94,5127.18,5132.35,946532520
2024-03-04T11:30:00-05:00,5132.31,5139.76,5129.47,5133.9,522703840
2024-03-04T13:30:00-05:00,5133.95,5149.67,5133.57,5142.8,533188050
2024-03-04T15:30:00-05:00,5143.03,5144.39,5129.61,5130.94,735535890
2024-03-05T09:30:00-05:00,5108.99,5114.54,5082.52,5089.34,850583860
2024-03-05T11:30:00-05:00,5089.3,5092.64,5077.82,5084.65,467023290
2024-03-05T13:30:00-05:00,5084.52,5088.19,5056.92,5057.62,506875410
2024-03-05T15:30:00-05:00,5057.69,5080.95,5056.82,5078.64,750751200
2024-03-06T09:30:00-05:00,5108.03,5120.51,5092.22,5120.17,821632919
2024-03-06T11:30:00-05:00,5120.45,5127.97,5112.56,5125.77,476406880
2024-03-06T13:30:00-05:00,5125.82,5126.18,5093.12,5098.65,529205440
2024-03-06T15:30:00-05:00,5098.63,5109.5,5093.15,5104.77,669349040
2024-03-07T09:30:00-05:00,5137.46,5155.37,5128.21,5151.32,676413393
2024-03-07T11:30:00-05:00,5151.24,5156.9,5144.85,5156.88,431137400
2024-03-07T13:30:00-05:00,5156.93,5165.62,5148.27,5153.09,454637090
2024-03-07T15:30:00-05:00,5153.08,5162.98,5152.83,5157.35,689682790
2024-03-08T09:30:00-05:00,5163.04,5189.26,5152.84,5153.24,782810920
2024-03-08T11:30:00-05:00,5153.61,5158.91,5127.65,5129.55,470307470
2024-03-08T13:30:00-05:00,5129.43,5150.54,5117.5,5125.97,460688840
2024-03-08T15:30:00-05:00,5125.92,5133.84,5123.68,5123.68,636510340
2024-03-11T09:30:00-04:00,5108.66,5115.44,5091.14,5100.51,690784780
2024-03-11T11:30:00-04:00,5100.68,5119.23,5098.44,5118.64,388559040
2024-03-11T13:30:00-04:00,5118.61,5124.66,5109.52,5114.86,418246480
2024-03-11T15:30:00-04:00,5114.94,5121.79,5112.12,5117.93,668928270
2024-03-12T09:30:00-04:00,5134.3,5171.64,5114.48,5168.94,713891310
