time,open,high,low,close,Swing High,Swing Low,Trail,Fast,Slow
2026-09-23T21:21:30-04:00,84284.14,84284.14,84263.13,84269.94,84315,84200,84244.55112,49.05023670741377,56.543587691215464
2026-09-23T21:21:45-04:00,84275.66,84275.66,84258.06,84258.06,84333.3,84200,84244.55112,45.66875235434071,53.230839793828025
2026-09-23T21:22:00-04:00,84257.49,84266.79,84257.49,84266.79,84333.3,84200,84244.55112,45.50914780866899,50.281455906916094
2026-09-23T21:22:15-04:00,84263.11,84271.1,84250,84250.13,84333.3,84200,84244.55112,44.75323848725953,48.13096205054689
2026-09-23T21:22:30-04:00,84254.09,84254.94,84252.69,84254.93,84333.3,84200,84244.55112,43.442698404647814,46.292336843038164
2026-09-23T21:22:45-04:00,84254.93,84254.93,84226.43,84226.43,84333.3,84200,,40.97624814290097,44.820791377563445
2026-09-23T21:23:00-04:00,84226.44,84253.83,84226.44,84240.11,84333.3,84200,,39.930557749580444,43.55945995238294
2026-09-23T21:23:15-04:00,84240.11,84240.12,84238.53,84238.54,84333.3,84200,,41.938270310740464,42.788800978513926
2026-09-23T21:23:30-04:00,84238.53,84245.69,84238.53,84245.69,84333.3,84200,,42.93761464943497,42.77913489383844
2026-09-23T21:23:45-04:00,84245.68,84249.19,84245.68,84249.18,84333.3,84200,,44.701539915038715,42.55805586604814
2026-09-23T21:24:00-04:00,84249.19,84309.88,84249.19,84309.87,84333.3,84226.43,,52.97228997626689,45.12743531926912
2026-09-23T21:24:15-04:00,84309.88,84321.34,84309.87,84321.34,84333.3,84226.43,,61.7240626925779,47.78130280545674
2026-09-23T21:24:30-04:00,84321.33,84333.3,84321.33,84333.3,84333.3,84226.43,,63.85376197092275,51.66386784156106
2026-09-23T21:24:45-04:00,84333.29,84333.3,84313.12,84313.12,84333.3,84226.43,,61.859803385072766,54.04680155845454
2026-09-23T21:25:00-04:00,84327.88,84327.89,84271.81,84271.81,84333.3,84226.43,,53.74219381204429,55.036417413362145
2026-09-23T21:25:15-04:00,84268.52,84268.52,84250,84250,84333.3,84226.43,,46.51516548666008,55.06895894051886
2026-09-23T21:25:30-04:00,84240.14,84240.14,84238.54,84238.54,84333.3,84226.43,,43.281910519848054,54.63080901473624
2026-09-23T21:25:45-04:00,84238.55,84238.55,84238.54,84238.55,84333.3,84226.43,,42.218903104706406,51.99656269150158
2026-09-23T21:26:00-04:00,84238.54,84238.55,84238.54,84238.55,84333.3,84226.43,,42.22020623488075,49.05827859825134
2026-09-23T21:26:15-04:00,84238.55,84238.65,84238.54,84238.65,84333.3,84226.43,,42.23531087751434,45.81986237909917
2026-09-23T21:26:30-04:00,84238.55,84238.55,84218.75,84218.76,84333.3,84226.43,,40.12284695640172,42.84771961863105
2026-09-23T21:26:45-04:00,84218.76,84235.56,84218.75,84235.56,84333.3,84226.43,,40.59704965893832,42.06410690678319
2026-09-23T21:27:00-04:00,84235.55,84257.9,84235.55,84257.89,84333.3,84226.43,,46.244602762767315,42.770415983233114
2026-09-23T21:27:15-04:00,84257.9,84274.87,84257.9,84270.88,84333.3,84226.43,,50.88661982888655,44.23688099507989
2026-09-23T21:27:30-04:00,84270.89,84270.89,84270.88,84270.88,84333.3,84226.43,,52.48285505745959,45.70297368401973
2026-09-23T21:27:45-04:00,84270.89,84274.87,84270.88,84274.86,84333.3,84226.43,,53.002721518292454,47.317599647483235
2026-09-23T21:28:00-04:00,84274.87,84274.87,84274.86,84274.87,84333.3,84218.75,,53.523963791773106,48.928303088093664
2026-09-23T21:28:15-04:00,84274.86,84278.64,84260.88,84267.35,84333.3,84218.75,,52.30089109769237,50.797040830709136
2026-09-23T21:28:30-04:00,84268.8,84268.81,84268.8,84268.8,84333.3,84218.75,,51.306654313636,51.98819013229299
2026-09-23T21:28:45-04:00,84274.86,84274.87,84272.84,84273.58,84333.3,84218.75,,52.320282288091754,52.53294926651612
2026-09-23T21:29:00-04:00,84273.57,84273.58,84272.81,84272.82,84333.3,84218.75,,52.957521660264874,52.57987636982966
2026-09-23T21:29:15-04:00,84272.81,84274.87,84272.81,84274.87,84333.3,84218.75,,53.18273125788887,52.732913895210196
2026-09-23T21:29:30-04:00,84274.86,84274.87,84260.89,84260.9,84278.64,84218.75,,50.78122921626128,51.94516428353504
2026-09-23T21:29:45-04:00,84260.89,84260.9,84238.56,84238.56,84278.64,84218.75,,44.3754005799578,50.1190386918344
2026-09-23T21:30:00-04:00,84238.55,84238.56,84218.75,84218.75,84278.64,84218.75,84302.66844999998,38.17000617853557,47.90776859234739
2026-09-23T21:30:15-04:00,84218.76,84222.48,84218.75,84222.47,84278.64,84218.75,84302.66844999998,36.39940443855701,45.85982444181183
2026-09-23T21:30:30-04:00,84225.36,84225.37,84222.47,84222.48,84278.64,84218.75,84302.66844999998,37.20352034196793,43.58869375059772
2026-09-23T21:30:45-04:00,84222.47,84222.47,84218.75,84218.75,84278.64,84218.75,84302.66844999998,36.68229165012821,41.20975872462992
2026-09-23T21:31:00-04:00,84218.77,84222.78,84218.34,84218.34,84278.64,84218.75,84302.66844999998,36.09877502748547,38.70756339905389
2026-09-23T21:31:15-04:00,84218.98,84247.8,84218.98,84247.8,84278.64,84218.75,84302.66844999998,42.57550048036407,38.865264800087864
2026-09-23T21:31:30-04:00,84263.29,84263.29,84251.47,84251.48,84278.64,84218.75,84302.66844999998,49.793141614128594,40.25548940881698
2026-09-23T21:31:45-04:00,84251.47,84252.9,84251.47,84251.48,84278.64,84218.75,84302.66844999998,50.47403272362017,42.38070095582632
2026-09-23T21:32:00-04:00,84251.47,84251.48,84251.47,84251.47,84278.64,84218.75,84302.66844999998,50.47190449957175,44.276203711964044
2026-09-23T21:32:15-04:00,84251.48,84251.48,84251.47,84251.48,84278.64,84218.34,84302.66844999998,50.47202514823759,46.17170232904622
2026-09-23T21:32:30-04:00,84251.47,84251.48,84251.47,84251.47,84278.64,84218.34,84302.66844999998,50.47180623844723,48.21606502291233
2026-09-23T21:32:45-04:00,84251.48,84267.8,84251.47,84267.8,84278.64,84218.34,84302.66844999998,54.10319272887136,51.31582167229933
2026-09-23T21:33:00-04:00,84267.79,84285.29,84267.79,84285.24,84278.64,84218.34,84302.66844999998,60.788263504967475,53.419711601370444
2026-09-23T21:33:15-04:00,84285.29,84300,84284.74,84300,84278.64,84218.34,84302.66844999998,65.94218379081936,55.929833722782405
2026-09-23T21:33:30-04:00,84302.36,84302.36,84300.41,84300.42,84278.64,84218.34,84302.66844999998,68.1016271879489,58.45616716260723
2026-09-23T21:33:45-04:00,84300.41,84317.96,84300.41,84317.96,84278.64,84218.34,,70.35094817495906,61.609560487178776
2026-09-23T21:34:00-04:00,84320.88,84335.92,84314.3,84335.92,84278.64,84251.47,,74.3534759453629,65.27943881892874
2026-09-23T21:34:15-04:00,84341.34,84350,84341.33,84350,84278.64,84251.47,,77.35716553764065,69.29109171551976
2026-09-23T21:34:30-04:00,84349.99,84371.25,84349.99,84371.24,84278.64,84251.47,,80.05176235138109,72.69331585393152
2026-09-23T21:34:45-04:00,84377.79,84378.1,84374.71,84375.96,84278.64,84251.47,,81.85151849720143,75.30916457044374
2026-09-23T21:35:00-04:00,84375.97,84382.58,84375.96,84382.57,84278.64,84251.47,,82.56627802255134,77.4430570629978
2026-09-23T21:35:15-04:00,84382.58,84400,84382.58,84400,84278.64,84251.47,,83.97646929633962,79.84483374426966
2026-09-23T21:35:30-04:00,84393.77,84400,84386.91,84395.97,84278.64,84251.47,,83.76955453938629,81.27694459569129
2026-09-23T21:35:45-04:00,84400,84400,84399.99,84399.99,84278.64,84251.47,,82.82523491644736,82.26533630743666
2026-09-23T21:36:00-04:00,84400,84414.12,84399.99,84414.12,84278.64,84251.47,,83.9313002417621,83.15526879686887
2026-09-23T21:36:15-04:00,84417.48,84417.48,84417.47,84417.47,84278.64,84251.47,,84.97060142622752,83.67071890024992
2026-09-23T21:36:30-04:00,84417.48,84418.3,84405.67,84418.3,84278.64,84251.47,,85.20991089607556,84.11480948226146
2026-09-23T21:36:45-04:00,84418.3,84450,84418.3,84445.21,84278.64,84251.47,,86.64343305239575,84.83562033734833
2026-09-23T21:37:00-04:00,84445.2,84464.63,84445.2,84464.63,84278.64,84251.47,,88.7903250506672,85.49019684064079
2026-09-23T21:37:15-04:00,84464.62,84464.63,84464.62,84464.63,84278.64,84251.47,,89.55283909434414,86.48798735305057
2026-09-23T21:37:30-04:00,84464.62,84464.63,84373.08,84373.09,84278.64,84251.47,,71.17196978027785,82.16069251602093
2026-09-23T21:37:45-04:00,84371.89,84377.17,84371.89,84375.54,84278.64,84251.47,,53.06712140820487,77.66965054346278
2026-09-23T21:38:00-04:00,84371.9,84371.9,84356.25,84356.26,84278.64,84251.47,,50.93830802744028,72.43718011636743
2026-09-23T21:38:15-04:00,84356.25,84356.25,84342.07,84342.08,84278.64,84251.47,,46.9159746416719,66.72852589934745
2026-09-23T21:38:30-04:00,84342.07,84342.07,84329.25,84329.25,84278.64,84251.47,,43.917160241087785,60.22967359885086
2026-09-23T21:38:45-04:00,84329.26,84329.26,84305.15,84307.03,84464.63,84251.47,,40.363745456910955,52.89236030113137
2026-09-23T21:39:00-04:00,84307.04,84307.04,84300,84300.01,84464.63,84251.47,,37.55038316658104,45.37182904806139
2026-09-23T21:39:15-04:00,84300,84300.01,84287.5,84287.51,84464.63,84251.47,,35.79262742771678,42.783976771828215
2026-09-23T21:39:30-04:00,84287.5,84287.51,84287.38,84287.39,84464.63,84251.47,,34.665296827951195,40.11416488227463
2026-09-23T21:39:45-04:00,84287.38,84287.39,84287.38,84287.38,84464.63,84251.47,,34.65348717129267,38.13117081292889
2026-09-23T21:40:00-04:00,84287.39,84287.39,84259.01,84259.01,84464.63,84251.47,,32.11758070153287,35.8860523279492
2026-09-23T21:40:15-04:00,84254.27,84254.91,84254.27,84254.28,84464.63,84251.47,,29.204034376950236,33.92742056603245
2026-09-23T21:40:30-04:00,84251.6,84251.61,84251.6,84251.6,84464.63,84251.47,,28.603776285626378,32.52606113615361
2026-09-23T21:40:45-04:00,84251.61,84251.61,84234.29,84234.3,84464.63,84251.47,,27.01151913571339,30.916316557213122
2026-09-23T21:41:00-04:00,84234.29,84234.29,84228.94,84230.6,84464.63,84251.47,,25.361918842753344,29.545858683306903
2026-09-23T21:41:15-04:00,84230.61,84230.61,84230.6,84230.61,84464.63,84251.47,,25.08530182979364,28.179175129168105
2026-09-23T21:41:30-04:00,84230.6,84230.61,84222.16,84222.17,84464.63,84251.47,,24.40488008420176,26.61768522985236
2026-09-23T21:41:45-04:00,84222.18,84238.62,84222.17,84223.99,84464.63,84251.47,,24.19817303810574,25.91648722533178
2026-09-23T21:42:00-04:00,84220.02,84220.02,84214.88,84214.88,84464.63,84251.47,,23.89643663732831,25.101228732817525
2026-09-23T21:42:15-04:00,84214.89,84217.16,84214.89,84217.14,84464.63,84251.47,,23.755377283854646,24.531230367682713
2026-09-23T21:42:30-04:00,84217.12,84217.13,84217.11,84217.12,84464.63,84251.47,,24.39021638190037,24.352285088870946
2026-09-23T21:42:45-04:00,84217.11,84217.11,84201.73,84201.73,84464.63,84251.47,,22.977759986282383,23.850042122976728
2026-09-23T21:43:00-04:00,84201.12,84201.13,84200.55,84201.05,84464.63,84251.47,,21.508199462238775,23.330255840998127
2026-09-23T21:43:15-04:00,84200,84200,84170,84170,84464.63,84251.47,,19.174608338754712,22.355678767134712
2026-09-23T21:43:30-04:00,84167.15,84167.16,84146.12,84146.13,84464.63,84251.47,,15.63794041305756,20.884475090984363
2026-09-23T21:43:45-04:00,84146.12,84146.12,84088.33,84088.33,84464.63,84251.47,,12.360972960708995,19.059832002386337
2026-09-23T21:44:00-04:00,84088.32,84213.14,84088.32,84213.14,84464.63,84251.47,,28.035654358418036,22.107411398002476
2026-09-23T21:44:15-04:00,84203.98,84203.98,84178.87,84178.89,84464.63,84251.47,,43.337421629119476,24.473319215877506
2026-09-23T21:44:30-04:00,84195.19,84195.19,84175.45,84175.46,84464.63,84251.47,,40.72158987441313,27.177077080325546
2026-09-23T21:44:45-04:00,84163.5,84163.51,84138.8,84139.61,84464.63,84251.47,,38.2379399941594,29.253245082140545
2026-09-23T21:45:00-04:00,84139.62,84139.62,84128.04,84128.84,84464.63,84251.47,,35.3564558993706,31.800462097644374
2026-09-23T21:45:15-04:00,84128.83,84142.49,84127.26,84142.49,84464.63,84088.32,,36.20992321042785,35.13095445281777
2026-09-23T21:45:30-04:00,84142.48,84186.05,84142.48,84186.05,84464.63,84088.32,,41.88868756482694,40.23695198453521
2026-09-23T21:45:45-04:00,84190.15,84190.15,84190.14,84190.15,84464.63,84088.32,,46.45142071675971,40.39260198377253
2026-09-23T21:46:00-04:00,84186.82,84187.6,84180.18,84181.44,84464.63,84088.32,,46.11454356020089,41.03041539341562
2026-09-23T21:46:15-04:00,84171.66,84172.02,84157.14,84157.14,84464.63,84088.32,,43.541803185118916,41.198377215402765
2026-09-23T21:46:30-04:00,84148.32,84148.32,84116.28,84116.28,84464.63,84088.32,,38.96228296879789,41.23737052902662
2026-09-23T21:46:45-04:00,84116.29,84119.74,84116.28,84116.29,84464.63,84088.32,,36.25639088193205,41.45550149613461
2026-09-23T21:47:00-04:00,84116.28,84130.55,84116.28,84128.73,84464.63,84088.32,,37.655445320843626,41.650376846288275
2026-09-23T21:47:15-04:00,84129.53,84152.53,84129.53,84138.58,84464.63,84088.32,,40.152083431606755,40.95932888664312
2026-09-23T21:47:30-04:00,84138.59,84147.53,84138.51,84147.53,84464.63,84088.32,,42.25176299220301,40.450474639272066
2026-09-23T21:47:45-04:00,84147.52,84147.52,84139.59,84139.6,84464.63,84088.32,,42.57170703103438,39.94708987830984
2026-09-23T21:48:00-04:00,84139.59,84146.38,84139.59,84141.55,84464.63,84088.32,,42.1309484064214,40.04737327392993
2026-09-23T21:48:15-04:00,84142.43,84142.43,84108.59,84108.6,84464.63,84088.32,,39.59984610940639,40.12925077562655
2026-09-23T21:48:30-04:00,84100.01,84100.01,84095.02,84095.03,84464.63,84088.32,,35.81865978972594,39.92230724758532
2026-09-23T21:48:45-04:00,84095.02,84096.07,84089.64,84089.65,84464.63,84088.32,,34.41070581920823,39.20218234658786
2026-09-23T21:49:00-04:00,84089.65,84089.65,84089.64,84089.64,84464.63,84088.32,,34.011755292429385,38.167927779248934
2026-09-23T21:49:15-04:00,84095.53,84114.79,84095.3,84102.8,84464.63,84088.32,,36.02176827807581,37.42218385683724
2026-09-23T21:49:30-04:00,84110.82,84137.57,84110.81,84136.13,84464.63,84088.32,,42.44868832775934,38.13277957831321
2026-09-23T21:49:45-04:00,84114.75,84133.26,84113.87,84115.06,84464.63,84088.32,,44.792199728152966,38.18254137733197
2026-09-23T21:50:00-04:00,84112.66,84117.25,84112.65,84116.36,84464.63,84088.32,,42.88692169878631,39.07194403242176
2026-09-23T21:50:15-04:00,84099.94,84099.94,84091.29,84091.29,84464.63,84089.64,,40.72475460555266,39.584282753282466
2026-09-23T21:50:30-04:00,84090.32,84090.33,84086.63,84086.64,84464.63,84089.64,,37.98906623916935,40.09433272383922
2026-09-23T21:50:45-04:00,84086.63,84086.64,84070.4,84070.41,84464.63,84089.64,,36.19852151167884,40.209073101639454
2026-09-23T21:51:00-04:00,84070.4,84070.41,84070.4,84070.41,84464.63,84089.64,,34.81415918004609,39.749301552973584
2026-09-23T21:51:15-04:00,84070.4,84070.41,84070.4,84070.4,84464.63,84089.64,,34.81324286763696,38.0275172558902
2026-09-23T21:51:30-04:00,84070.41,84070.41,84070.4,84070.4,84464.63,84089.64,,34.81232655522783,36.897909217852124
2026-09-23T21:51:45-04:00,84070.41,84087.6,84070.4,84081.77,84464.63,84089.64,,36.927943698787885,36.32495211303351
2026-09-23T21:52:00-04:00,84106.44,84144.92,84106.44,84144.92,84464.63,84089.64,,47.56718941491225,38.85289059195486
2026-09-23T21:52:15-04:00,84144.94,84147.53,84144.87,84147.52,84464.63,84089.64,,56.35971924888151,41.57371011580842
2026-09-23T21:52:30-04:00,84147.53,84150,84147.36,84147.37,84464.63,84089.64,,56.60709042708241,44.683910282070165
2026-09-23T21:52:45-04:00,84147.23,84165.17,84147.22,84165.16,84464.63,84089.64,,58.507143260273,48.343134138730385
2026-09-23T21:53:00-04:00,84165.17,84165.17,84149.99,84149.99,84464.63,84070.4,,58.15719036997871,51.35360956845352
2026-09-23T21:53:15-04:00,84150,84150,84145.63,84145.63,84464.63,84070.4,,55.25021837362581,54.18253180112981
2026-09-23T21:53:30-04:00,84145.64,84145.64,84135.16,84135.17,84464.63,84070.4,,53.099418222483486,55.97403086093799
2026-09-23T21:53:45-04:00,84135.16,84135.16,84125.16,84125.16,84464.63,84070.4,,50.18879135079623,54.93156092566809
2026-09-23T21:54:00-04:00,84125.17,84156.47,84125.16,84156.46,84464.63,84070.4,,52.73884799998031,54.93949621839478
2026-09-23T21:54:15-04:00,84156.47,84156.47,84146.26,84146.26,84165.17,84070.4,,55.23009357225439,54.538133252860085
2026-09-23T21:54:30-04:00,84147.88,84147.88,84137.62,84137.62,84165.17,84070.4,,52.57390018300959,53.24428391060524
2026-09-23T21:54:45-04:00,84137.63,84137.63,84137.62,84137.62,84165.17,84070.4,,51.37178078088367,52.59944479883294
2026-09-23T21:55:00-04:00,84137.63,84140.26,84137.62,84140.25,84165.17,84070.4,,51.74957698014133,52.24410065532396
2026-09-23T21:55:15-04:00,84140.26,84153.62,84139.4,84153.61,84165.17,84125.16,,54.002630645584695,52.85750549114757
2026-09-23T21:55:30-04:00,84156.58,84165.12,84156.58,84165.11,84165.17,84125.16,,57.3715714038199,54.29632352761644
2026-09-23T21:55:45-04:00,84170.53,84177.23,84170.53,84174.57,84165.17,84125.16,,60.02908896447813,54.94043148100409
2026-09-23T21:56:00-04:00,84174.58,84174.58,84173.41,84173.41,84165.17,84125.16,,60.9659880254103,55.93515051423241
2026-09-23T21:56:15-04:00,84173.41,84189.91,84173.41,84189.42,84165.17,84125.16,,62.688276435913565,57.83025326754809
2026-09-23T21:56:30-04:00,84189.42,84189.43,84189.42,84189.42,84165.17,84125.16,,64.63750005409341,59.725356020863764
2026-09-23T21:56:45-04:00,84189.43,84189.63,84189.42,84189.63,84165.17,84125.16,,64.6641677603836,61.52013634761731
2026-09-23T21:57:00-04:00,84189.62,84189.63,84189.62,84189.62,84165.17,84125.16,,64.6883338701609,62.778414085028395
2026-09-23T21:57:15-04:00,84189.63,84189.63,84189.61,84189.62,84165.17,84125.16,,64.68583227364802,63.6099251675682
