time,open,high,low,close,Volume
2026-05-04T13:30:00-04:00,7208,7208.35,7199.44,7204.99,55617960
2026-05-04T13:45:00-04:00,7205.04,7209.09,7203.67,7206.08,52851350
2026-05-04T14:00:00-04:00,7206.08,7212.79,7206.04,7207.24,62736830
2026-05-04T14:15:00-04:00,7207.27,7207.59,7195.41,7200.6,55129910
2026-05-04T14:30:00-04:00,7200.47,7201.22,7193.23,7193.42,53784310
2026-05-04T14:45:00-04:00,7193.54,7199.16,7191.15,7198.06,69678930
2026-05-04T15:00:00-04:00,7197.97,7204.13,7194.24,7203.41,74815460
2026-05-04T15:15:00-04:00,7203.47,7204.82,7198.49,7200.36,85712730
2026-05-04T15:30:00-04:00,7200.36,7205.29,7199.92,7200.95,109224530
2026-05-04T15:45:00-04:00,7200.76,7204.14,7196.22,7201.4,306626190
2026-05-04T16:00:00-04:00,7201.93,7201.93,7200.76,7200.76,466174210
2026-05-05T09:30:00-04:00,7239.53,7249.51,7237.66,7245.09,206696589
2026-05-05T09:45:00-04:00,7245.54,7252.04,7245.04,7248.54,136497970
2026-05-05T10:00:00-04:00,7249.43,7257,7243.9,7246.42,124151790
2026-05-05T10:15:00-04:00,7246.45,7259.54,7241.78,7256.12,122316760
2026-05-05T10:30:00-04:00,7256.1,7257.37,7249.15,7250.62,110550570
2026-05-05T10:45:00-04:00,7250.73,7255.13,7248.19,7254.46,90392070
2026-05-05T11:00:00-04:00,7254.28,7259.85,7253.65,7259.61,89442860
2026-05-05T11:15:00-04:00,7259.29,7259.92,7254.11,7257.51,83711860
2026-05-05T11:30:00-04:00,7257.82,7258.24,7252.35,7254.24,78173270
2026-05-05T11:45:00-04:00,7254.23,7257.42,7252.82,7253.57,70236680
2026-05-05T12:00:00-04:00,7253.75,7259.63,7253.03,7258.49,72169570
2026-05-05T12:15:00-04:00,7258.39,7261.78,7254.65,7258.76,72946440
2026-05-05T12:30:00-04:00,7258.68,7260.26,7255.78,7257.58,71001560
2026-05-05T12:45:00-04:00,7257.63,7261.09,7256.91,7257.89,56687240
2026-05-05T13:00:00-04:00,7257.84,7259.3,7254.72,7256.32,61931350
2026-05-05T13:15:00-04:00,7256.4,7261.78,7256.4,7261.67,59779190
2026-05-05T13:30:00-04:00,7261.66,7263.47,7259.7,7261.91,58159120
2026-05-05T13:45:00-04:00,7261.96,7264.79,7261.62,7263.03,62121380
2026-05-05T14:00:00-04:00,7263.02,7269.39,7262.63,7269.05,72343590
2026-05-05T14:15:00-04:00,7269.13,7269.9,7267.23,7267.98,61449120
2026-05-05T14:30:00-04:00,7267.87,7268.64,7264.38,7266.16,69740020
2026-05-05T14:45:00-04:00,7266.07,7267.81,7263.95,7266.05,72501390
2026-05-05T15:00:00-04:00,7266.13,7272.41,7266.07,7270.43,85037860
2026-05-05T15:15:00-04:00,7270.38,7273.26,7269.08,7270.17,95752950
2026-05-05T15:30:00-04:00,7270.12,7271.42,7267.77,7270.45,116280330
2026-05-05T15:45:00-04:00,7270.48,7270.48,7255.45,7259.46,334346870
2026-05-05T16:00:00-04:00,7259.34,7259.36,7259.2,7259.21,511583090
2026-05-06T09:30:00-04:00,7294.14,7319.35,7294.14,7315.26,295171705
2026-05-06T09:45:00-04:00,7315.74,7322.19,7306.36,7319.96,172776660
2026-05-06T10:00:00-04:00,7321.02,7325.56,7310.78,7323.78,159476580
2026-05-06T10:15:00-04:00,7323.96,7330.88,7319.13,7322.57,143821720
2026-05-06T10:30:00-04:00,7322.58,7341.83,7322.52,7341.83,117985860
2026-05-06T10:45:00-04:00,7342.3,7344.97,7339.51,7344.97,104411170
2026-05-06T11:00:00-04:00,7344.89,7348.35,7337.12,7340.33,107831540
2026-05-06T11:15:00-04:00,7340.44,7347.55,7339.38,7344.11,96396490
2026-05-06T11:30:00-04:00,7343.93,7345.63,7333.42,7337.35,89930250
2026-05-06T11:45:00-04:00,7337.43,7343.28,7335.65,7340.42,82082560
2026-05-06T12:00:00-04:00,7340.41,7343.72,7338.86,7342.91,69386170
2026-05-06T12:15:00-04:00,7343.05,7344.44,7341.03,7341.33,75142590
2026-05-06T12:30:00-04:00,7341.25,7342.21,7338.45,7339.43,66389060
2026-05-06T12:45:00-04:00,7339.43,7340.05,7329.34,7333.81,68059770
2026-05-06T13:00:00-04:00,7333.69,7341.18,7330.64,7339.36,67192190
2026-05-06T13:15:00-04:00,7339.32,7341.36,7337.6,7340.12,61244440
2026-05-06T13:30:00-04:00,7340.04,7342.88,7339.21,7342.26,64360810
2026-05-06T13:45:00-04:00,7342.24,7344.72,7341.43,7344.55,61146010
2026-05-06T14:00:00-04:00,7344.58,7348.94,7344.11,7348.17,75723460
2026-05-06T14:15:00-04:00,7348.11,7354.92,7348.11,7353.79,73217530
2026-05-06T14:30:00-04:00,7353.84,7357.56,7351.92,7353.75,78704150
2026-05-06T14:45:00-04:00,7353.51,7354.55,7350.54,7352.56,80909460
2026-05-06T15:00:00-04:00,7352.55,7361.53,7352.24,7360.89,97061860
2026-05-06T15:15:00-04:00,7361.13,7363.4,7359.47,7362.01,118131200
2026-05-06T15:30:00-04:00,7361.93,7363.45,7358.75,7360.15,133943120
2026-05-06T15:45:00-04:00,7360.18,7369.22,7359.39,7363.46,390620230
2026-05-06T16:00:00-04:00,7363.07,7365.11,7363.07,7365.11,662158700
2026-05-07T09:30:00-04:00,7376.78,7376.78,7364.99,7366.17,296242650
2026-05-07T09:45:00-04:00,7366.12,7367.86,7359.77,7363.62,154319960
2026-05-07T10:00:00-04:00,7364.55,7373.66,7363.56,7369.78,133648860
2026-05-07T10:15:00-04:00,7369.65,7375.02,7366.15,7369.6,129678000
2026-05-07T10:30:00-04:00,7369.66,7377.4,7368.36,7376.16,104234370
2026-05-07T10:45:00-04:00,7376.26,7385.02,7374.54,7384.76,107120150
2026-05-07T11:00:00-04:00,7384.71,7384.92,7375.67,7376.06,107383680
2026-05-07T11:15:00-04:00,7376.11,7380,7367.37,7372.15,94563430
2026-05-07T11:30:00-04:00,7372.23,7379.83,7372.23,7377.05,83401490
2026-05-07T11:45:00-04:00,7376.96,7377.89,7361.46,7363.22,91221210
2026-05-07T12:00:00-04:00,7363.22,7363.56,7348.66,7350.15,90210710
2026-05-07T12:15:00-04:00,7350.21,7357.44,7339.83,7357.07,92354750
2026-05-07T12:30:00-04:00,7357.01,7361.82,7348.5,7350.88,81239910
2026-05-07T12:45:00-04:00,7350.98,7351.78,7339.28,7343.86,67227160
2026-05-07T13:00:00-04:00,7343.78,7349.47,7339.73,7343.07,68193880
2026-05-07T13:15:00-04:00,7342.96,7347.45,7321.66,7329.73,90977810
2026-05-07T13:30:00-04:00,7329.85,7340.1,7325.77,7330.14,73764420
2026-05-07T13:45:00-04:00,7330.24,7341.1,7324.67,7340.92,67044090
2026-05-07T14:00:00-04:00,7340.77,7343.99,7333.98,7338.6,74219450
2026-05-07T14:15:00-04:00,7338.85,7344.67,7334.61,7335.93,72461360
2026-05-07T14:30:00-04:00,7336.03,7342.37,7323.89,7325.92,71502030
2026-05-07T14:45:00-04:00,7325.9,7334.45,7321.25,7334.03,78215770
2026-05-07T15:00:00-04:00,7334.19,7337.84,7329.57,7335.37,85495440
2026-05-07T15:15:00-04:00,7335.3,7336,7323.05,7327.68,101795650
2026-05-07T15:30:00-04:00,7327.72,7337.55,7326.9,7335.14,118079270
2026-05-07T15:45:00-04:00,7335.45,7341.4,7330.62,7337.1,376167500
2026-05-07T16:00:00-04:00,7337.02,7337.1,7337.02,7337.1,581492700
2026-05-08T09:30:00-04:00,7362.97,7377.76,7362.97,7374.55,262468155
2026-05-08T09:45:00-04:00,7375.74,7389.46,7375.74,7389.46,134945485
2026-05-08T10:00:00-04:00,7389.32,7392.5,7384.2,7390.22,127218590
2026-05-08T10:15:00-04:00,7390.13,7397.56,7387.12,7389.68,110429510
2026-05-08T10:30:00-04:00,7389.8,7394.38,7382.71,7394.31,98441600
2026-05-08T10:45:00-04:00,7394.51,7397.37,7392.38,7393.73,89360620
2026-05-08T11:00:00-04:00,7393.43,7395.99,7386.97,7387.8,90793980
2026-05-08T11:15:00-04:00,7387.74,7391.87,7383.27,7391.22,77465870
2026-05-08T11:30:00-04:00,7391.29,7396,7386.01,7390.13,84437500
2026-05-08T11:45:00-04:00,7390.24,7396.37,7389.1,7390.96,75402350
2026-05-08T12:00:00-04:00,7391.2,7397.18,7391.1,7396.64,64446230
2026-05-08T12:15:00-04:00,7396.44,7400.09,7394.98,7397.55,68459900
2026-05-08T12:30:00-04:00,7397.67,7398.76,7390.22,7390.25,65878610
2026-05-08T12:45:00-04:00,7390.43,7395.77,7390.43,7391.49,88702360
2026-05-08T13:00:00-04:00,7391.46,7398.09,7390.55,7394.63,90389390
2026-05-08T13:15:00-04:00,7394.55,7400.98,7394.39,7399.56,76321160
2026-05-08T13:30:00-04:00,7399.7,7401.01,7394.87,7395.13,69452840
2026-05-08T13:45:00-04:00,7395.16,7398.03,7392.94,7394.3,67862420
2026-05-08T14:00:00-04:00,7394.18,7401.5,7393.95,7399.77,73326170
2026-05-08T14:15:00-04:00,7399.96,7401.4,7398.3,7399.49,67121010
2026-05-08T14:30:00-04:00,7399.37,7401.37,7394.77,7394.82,62960140
2026-05-08T14:45:00-04:00,7394.57,7394.57,7384.09,7386.05,79204260
2026-05-08T15:00:00-04:00,7386,7393.48,7386,7391.01,86724080
2026-05-08T15:15:00-04:00,7391.02,7394.62,7388.99,7388.99,98733870
2026-05-08T15:30:00-04:00,7389.06,7396.26,7388.24,7395.87,122255360
2026-05-08T15:45:00-04:00,7395.96,7398.84,7394.21,7397.42,368211040
2026-05-08T16:00:00-04:00,7398.53,7398.95,7398.5,7398.92,520050700
2026-05-11T09:30:00-04:00,7388.85,7405.79,7384.2,7405.62,328205790
2026-05-11T09:45:00-04:00,7405.68,7414.12,7404.34,7407.83,142406930
2026-05-11T10:00:00-04:00,7409.29,7412.28,7406.37,7412.28,117379110
2026-05-11T10:15:00-04:00,7412.29,7417.78,7405.7,7405.77,107255880
2026-05-11T10:30:00-04:00,7405.82,7412.48,7397.65,7410.78,109373320
2026-05-11T10:45:00-04:00,7410.98,7421.11,7408.86,7417.92,104078050
2026-05-11T11:00:00-04:00,7418.03,7418.95,7412.13,7412.55,97708840
2026-05-11T11:15:00-04:00,7412.8,7422.91,7411.45,7422.61,89518080
2026-05-11T11:30:00-04:00,7422.46,7423.7,7419.06,7420.86,87258830
2026-05-11T11:45:00-04:00,7420.91,7425.04,7418.69,7423.93,74061210
2026-05-11T12:00:00-04:00,7423.79,7425.18,7421.98,7422.89,71930670
2026-05-11T12:15:00-04:00,7422.88,7426.23,7421.55,7425.29,68948960
2026-05-11T12:30:00-04:00,7425.34,7426.27,7410.8,7417.92,81548660
2026-05-11T12:45:00-04:00,7417.84,7420.49,7412.6,7415.02,75896520
2026-05-11T13:00:00-04:00,7414.95,7418.35,7411.41,7412.09,73401480
2026-05-11T13:15:00-04:00,7412.1,7420.43,7410.32,7419.55,63580260
2026-05-11T13:30:00-04:00,7419.52,7427.92,7419.33,7427.86,64831860
2026-05-11T13:45:00-04:00,7427.86,7428.97,7422.78,7423.3,66900740
2026-05-11T14:00:00-04:00,7423.47,7428.38,7423.4,7425.24,68300590
2026-05-11T14:15:00-04:00,7425.1,7426.52,7422.93,7425.11,69698380
2026-05-11T14:30:00-04:00,7425.16,7425.18,7417.78,7419.48,78339220
