time,open,high,low,close,Swing High,Swing Low,Trail,Fast,Signal,Base line,Band A,Band B,Fast,Slow
2026-09-21T04:35:00-04:00,4354.88,4357.025,4353.615,4355.56,4356.175,4342.04,,56.69408737266927,52.90027297499348,45.15592430946236,55.50835102280706,34.80349759611765,55.98118002387166,52.35003730488199
2026-09-21T04:40:00-04:00,4355.59,4357.655,4353.295,4357.465,4356.175,4342.04,,58.792894981170264,55.51588352292551,45.68761133816653,56.802216884992816,34.57300579134025,57.96435147247015,54.82789637568057
2026-09-21T04:45:00-04:00,4357.455,4357.51,4353.72,4355.915,4356.175,4342.04,,58.53131210810403,56.55674946998588,46.25897108962591,57.513017533946524,35.004924645305294,57.77383130941171,55.842784281763294
2026-09-21T04:50:00-04:00,4355.89,4355.89,4351.085,4351.39,4356.175,4342.04,,52.21946521388533,55.46071824921473,46.470555123194316,57.61318200629675,35.32792824009188,51.96032944631503,54.86367716866148
2026-09-21T04:55:00-04:00,4351.29,4353.61,4349.84,4353.285,4356.175,4342.04,,49.469251299298094,54.64778221492942,46.64213195393659,57.85531855566814,35.42894535220504,49.43226042564605,54.14386144831394
2026-09-21T05:00:00-04:00,4353.255,4353.91,4349.555,4350.3,4356.175,4342.04,,48.59046636084747,53.62032311448305,46.72411002135106,57.896549685806505,35.55167035689561,48.613575557796366,53.21878146081675
2026-09-21T05:05:00-04:00,4350.285,4353.935,4350.28,4353.075,4357.655,4342.04,,48.49209772100199,52.89098404465294,47.14848385491633,58.00610393006864,36.29086377976402,48.522148349372515,52.56626899200712
2026-09-21T05:10:00-04:00,4353.165,4354.015,4352.335,4353.92,4357.655,4342.04,,51.76732782665452,52.21267752990741,47.66542548630493,58.05244177343099,37.278409199178874,51.57503705223376,51.95988346892021
2026-09-21T05:15:00-04:00,4353.87,4354.925,4351.715,4351.745,4357.655,4342.04,,50.472916927403205,50.513847457862354,48.06115043336578,57.81530021044959,38.30700065628197,50.3803711894727,50.39941748257927
2026-09-21T05:20:00-04:00,4351.75,4354.23,4350.4,4351.03,4357.655,4342.04,,47.79310708260341,49.144618951192946,48.24694088359236,57.79082686119404,38.703054905990676,47.89502913174812,49.13736856101633
2026-09-21T05:25:00-04:00,4351.015,4351.015,4346.645,4346.655,4357.655,4342.04,,43.58709601186147,48.04745625728411,48.113955575586616,57.870438794224185,38.357472356949046,43.962806520503236,48.11441093234733
2026-09-21T05:30:00-04:00,4346.625,4346.625,4340.58,4342.275,4357.655,4342.04,4346.35201,37.21557860937958,45.64356961121622,47.790835085319095,58.223043789539105,37.358626381099086,37.9560058297638,45.85843867647855
2026-09-21T05:35:00-04:00,4342.285,4344.95,4340.1,4344.265,4357.655,4342.04,4346.35201,36.52416923087243,44.59994279157695,47.45285542458481,58.15556097878838,36.75014987038124,37.238761432854346,44.86446403950676
2026-09-21T05:40:00-04:00,4344.215,4347.985,4342.675,4347.745,4357.655,4342.04,,41.99885515933755,43.78835745074067,47.42477459701704,58.13854879647853,36.71100039755555,42.31215282838832,44.084154241911634
2026-09-21T05:45:00-04:00,4347.71,4348.61,4343.775,4344.06,4357.655,4342.04,,42.82490628327345,42.04496520775378,47.17124375554756,58.05038700951833,36.29210050157678,43.05027510310254,42.428817768326404
2026-09-21T05:50:00-04:00,4343.9,4347.48,4343.845,4347.105,4357.655,4342.04,,43.0057492903693,41.6548809830167,46.962921946122755,57.731844474654416,36.193999417591094,43.20047339073062,42.03275487084246
2026-09-21T05:55:00-04:00,4347.155,4347.155,4343.42,4345.695,4357.655,4342.04,,44.71762955783994,41.16625734353566,46.85606858839881,57.66053002789867,36.05160714889895,44.794559550660296,41.54296931658704
2026-09-21T06:00:00-04:00,4345.725,4349.7,4345.245,4349.53,4357.655,4340.1,,46.92015607540398,42.60718385831456,46.90528748229745,57.73834434381553,36.07223062077938,46.854720874505134,42.859016114843016
2026-09-21T06:05:00-04:00,4349.51,4352.23,4348.54,4350.845,4357.655,4340.1,,51.126830623029036,45.14090077600694,46.9732373173418,57.87251187503964,36.073962759643955,50.795406708600936,45.211369567683356
2026-09-21T06:10:00-04:00,4350.88,4353.62,4349.94,4353.62,4357.655,4340.1,,54.1644634071251,47.64726790867247,47.296911836084305,58.4692853340304,36.12453833813821,53.656501662026514,47.549799037463636
2026-09-21T06:15:00-04:00,4353.635,4356.765,4352.66,4352.875,4357.655,4340.1,,55.51643919156717,49.00306764235825,47.63570716261933,58.935634196151106,36.33578012908756,54.94592014308928,48.82101737188363
2026-09-21T06:20:00-04:00,4352.88,4352.99,4350.51,4351.19,4357.655,4340.1,,53.314845688815865,50.64439345311315,47.75714831188502,59.11402572130682,36.40027090246322,52.91881362268772,50.36938147163083
2026-09-21T06:25:00-04:00,4351.17,4352.61,4350.095,4350.87,4357.655,4340.1,,51.49584894067088,51.42881039958728,48.00457293277486,59.310868427548755,36.69827743800097,51.24427885683601,51.119247505056606
2026-09-21T06:30:00-04:00,4350.86,4351.735,4349.76,4350.685,4357.655,4340.1,,51.02252477895868,52.445792087718516,48.387663411469816,59.345418072014276,37.42990875092536,50.80962939202416,52.08797285487765
2026-09-21T06:35:00-04:00,4350.665,4352.245,4348.15,4348.525,4357.655,4340.1,,48.76390166874644,51.955594854827986,48.672883202375104,59.16432414085022,38.18144226389999,48.738181336313424,51.65737906557326
2026-09-21T06:40:00-04:00,4348.53,4349.56,4347.895,4348.49,4356.765,4340.1,,46.65204281211285,51.1672812845996,48.81901368194841,59.14082340184916,38.497203962047664,46.80104177662561,50.94672573145613
2026-09-21T06:45:00-04:00,4348.525,4350.745,4347.895,4348.045,4356.765,4340.1,,46.1673755614136,49.67071261319612,49.142584439745875,58.71758437209016,39.56758450740159,46.35762570925606,49.571985936210275
2026-09-21T06:50:00-04:00,4348.115,4349.8,4347.165,4347.515,4356.765,4340.1,,45.1591592912672,48.20805845594247,49.12598876250154,58.72026544948809,39.531712075514996,45.436450797181344,48.22973448976814
2026-09-21T06:55:00-04:00,4347.51,4348.47,4342.63,4342.81,4356.765,4340.1,,40.36815468310617,45.97165804013621,48.95273001089045,59.00712380963032,38.898336212150575,41.004595397933,46.16792358628036
2026-09-21T07:00:00-04:00,4342.785,4345.035,4342.05,4344.955,4356.765,4340.1,,38.8717426568531,44.60117094628025,48.72234748492639,58.9735932011838,38.47110176866897,39.56576372496693,44.89301588066269
2026-09-21T07:05:00-04:00,4344.86,4346.335,4343.495,4345.935,4356.765,4340.1,,42.79771586177698,43.62171263522715,48.38715190441421,58.541175626425925,38.233128182402496,43.13409494231153,43.97491374350532
2026-09-21T07:10:00-04:00,4345.895,4348.465,4344.61,4348.325,4356.765,4340.1,,46.705558934464385,44.01307302219966,48.16675467565984,58.03854529932561,38.294964051994064,46.712756639156765,44.31432311004651
2026-09-21T07:15:00-04:00,4348.35,4355.21,4348.35,4355.125,4356.765,4340.1,,55.24994105372476,46.078254989973416,48.399980829197524,58.80370419804284,37.99625746035221,54.670873071976445,46.223436970748416
2026-09-21T07:20:00-04:00,4355.135,4355.48,4352.345,4352.655,4356.765,4340.1,,58.536905316580956,47.54722438081891,48.39593196975461,58.791833337533056,38.00003060197617,57.800355883050685,47.58367458827354
2026-09-21T07:25:00-04:00,4352.755,4354.05,4352.245,4353.735,4356.765,4342.05,,56.83225370212091,49.413424821645904,48.40810826034174,58.831759530618996,37.98445699006449,56.2517276354825,49.31351606740589
2026-09-21T07:30:00-04:00,4353.71,4358.735,4352.285,4357.96,4356.765,4342.05,,60.5933962041901,53.32586481541432,48.501843806402846,59.23817552307438,37.76551208973131,59.81523244104915,52.95814231487816
2026-09-21T07:35:00-04:00,4357.955,4362.55,4357.545,4361.315,4356.765,4342.05,,65.46075483404606,57.010285443701044,48.815722538338385,60.5338031407468,37.09764193592997,64.45625448964412,56.42508485731367
2026-09-21T07:40:00-04:00,4361.325,4367.35,4360.015,4366.625,4356.765,4342.05,,69.91387266243598,61.07333818703118,49.542691303376465,62.913885291541334,36.171497315211596,68.76270753914922,60.28060305683179
2026-09-21T07:45:00-04:00,4366.65,4367.88,4364.79,4367.13,4356.765,4342.05,,72.64307929073345,64.4210055454922,50.17888889077576,64.9908560472044,35.36692173434711,71.41734890943148,63.48353979167786
2026-09-21T07:50:00-04:00,4367.215,4370.88,4365.335,4370.77,4356.765,4342.05,,74.33561095844736,66.52638673123764,51.05711157382352,67.38571580200033,34.728507345646705,73.07621251301606,65.53927146855737
2026-09-21T07:55:00-04:00,4370.815,4371.115,4366.37,4369.15,4356.765,4342.05,,73.92265992010667,68.81693543221385,51.674804314252505,68.9815121146868,34.368096513818216,72.78627242165237,67.76523023127835
2026-09-21T08:00:00-04:00,4369.185,4370.44,4362.85,4370.4,4356.765,4342.05,,72.59224343829432,71.02924094157291,52.282106609802334,70.55889014514324,34.00532307446142,71.58841791240894,69.92118297625065
2026-09-21T08:05:00-04:00,4370.44,4374.94,4367.285,4367.315,4356.765,4342.05,,69.61732286177528,71.3952001915239,52.8009458398038,71.42550109376597,34.17639058584164,68.8747930149543,70.35367610953696
2026-09-21T08:10:00-04:00,4367.295,4369.95,4366.685,4369.275,4356.765,4342.05,,67.14050676357064,71.50917006429421,53.42018894397687,72.43778878088636,34.40258910706737,66.62045741323689,70.53952666870573
2026-09-21T08:15:00-04:00,4369.3,4371.03,4367.16,4367.385,4356.765,4342.05,,66.11253037954546,70.30910239641233,54.12597139084403,72.97322485271744,35.27871792897062,65.69476516552837,69.4771211456453
