time,open,high,low,close,Volume
2026-07-13T09:30:00-04:00,7547.52,7565.38,7514.65,7523.53,1260086015
2026-07-13T13:30:00-04:00,7523.64,7527.76,7506.42,7515.33,1426209098
2026-07-14T09:30:00-04:00,7536.69,7557.43,7513.24,7549.57,1325691612
2026-07-14T13:30:00-04:00,7549.53,7554.16,7543.36,7543.58,1409259511
2026-07-15T09:30:00-04:00,7571.71,7581.49,7526.94,7553.91,1503772520
2026-07-15T13:30:00-04:00,7553.93,7574.85,7553.74,7572.39,1560925482
2026-07-16T09:30:00-04:00,7558.79,7570.73,7531.73,7552.84,1428215748
2026-07-16T13:30:00-04:00,7552.83,7553.82,7504.03,7533.76,1722497467
2026-07-17T09:30:00-04:00,7447.51,7498.46,7431.27,7494.49,1761485874
2026-07-17T13:30:00-04:00,7494.85,7495.79,7446.27,7457.68,1626216027
2026-07-20T09:30:00-04:00,7489.19,7513.24,7461.37,7466.83,1254962138
2026-07-20T13:30:00-04:00,7466.87,7479.07,7440.54,7443.27,1442790797
2026-07-21T09:30:00-04:00,7489.96,7515.3,7467.87,7509.33,1333587460
2026-07-21T13:30:00-04:00,7509.34,7514.51,7504.61,7509.19,1451969864
2026-07-22T09:30:00-04:00,7497.46,7525.93,7485.84,7516.17,1390904875
2026-07-22T13:30:00-04:00,7516.11,7519.33,7498.28,7498.95,1575339343
2026-07-23T09:30:00-04:00,7418.28,7450.11,7375.99,7412.43,1626609553
2026-07-23T13:30:00-04:00,7412.25,7412.25,7381.64,7408.29,1679966618
2026-07-24T09:30:00-04:00,7406.29,7460.97,7397.57,7441.2,1430351588
2026-07-24T13:30:00-04:00,7441.27,7445.53,7396.52,7411.97,1536736268
2026-07-27T09:30:00-04:00,7464.21,7480.58,7382.74,7385.49,1521473215
2026-07-27T13:30:00-04:00,7385.5,7422.05,7385.34,7413.17,1542982741
2026-07-28T09:30:00-04:00,7395.54,7452.08,7382.96,7436.85,1852693542
2026-07-28T13:30:00-04:00,7436.77,7443.47,7427.25,7428.77,1741092345
2026-07-29T09:30:00-04:00,7418.15,7426.39,7341.24,7381.45,1584814543
2026-07-29T13:30:00-04:00,7381.17,7450.83,7313.93,7316.14,1998522653
2026-07-30T09:30:00-04:00,7390.46,7426.05,7370.99,7421.14,1838076921
2026-07-30T13:30:00-04:00,7421.28,7448.76,7416.48,7437.62,1715377294
2026-07-31T09:30:00-04:00,7462.14,7489.51,7399.82,7486.78,1573311945
2026-07-31T13:30:00-04:00,7486.78,7512.03,7475.75,7489.71,1842372018
2026-08-03T09:30:00-04:00,7504.79,7596.16,7504.79,7595.13,1530431747
2026-08-03T13:30:00-04:00,7595.15,7610.03,7594.48,7600.49,1603838030
2026-08-04T09:30:00-04:00,7630.61,7739.66,7629.1,7736.61,1739316757
2026-08-04T13:30:00-04:00,7736.69,7758.22,7733.98,7736.51,1931649897
2026-08-05T09:30:00-04:00,7771.61,7793.67,7722.35,7736.97,1570443080
2026-08-05T13:30:00-04:00,7737.02,7745.86,7720.18,7723.54,1576633975
2026-08-06T09:30:00-04:00,7713.78,7742.86,7698.16,7701.5,1421470256
2026-08-06T13:30:00-04:00,7701.66,7721.46,7700.63,7709.95,1488811325
2026-08-07T09:30:00-04:00,7735.19,7763.08,7719.18,7745.28,1345206988
2026-08-07T13:30:00-04:00,7745.32,7761.87,7732.92,7757.63,1340920899
2026-08-10T09:30:00-04:00,7751.75,7773.77,7743.12,7754.17,1324619079
2026-08-10T13:30:00-04:00,7754.13,7757.01,7745.84,7753.1,1353836976
2026-08-11T09:30:00-04:00,7767.5,7767.5,7725.79,7732.09,1168854229
2026-08-11T13:30:00-04:00,7731.94,7736.57,7717.24,7728.19,1316913210
2026-08-12T09:30:00-04:00,7765.45,7766.02,7737.96,7751.07,1290841091
2026-08-12T13:30:00-04:00,7751.22,7758.95,7742.93,7748.49,1358079225
2026-08-13T09:30:00-04:00,7763.17,7816.71,7763.17,7794.02,1279334212
2026-08-13T13:30:00-04:00,7794.11,7806.93,7789.62,7798.98,1392953733
2026-08-14T09:30:00-04:00,7806.59,7810.02,7778.04,7779.08,1065202432
2026-08-14T13:30:00-04:00,7779.03,7786.46,7776.3,7785.75,1139300198
2026-08-17T09:30:00-04:00,7790.69,7790.69,7755.52,7756.39,1136830940
2026-08-17T13:30:00-04:00,7756.29,7758.98,7744.89,7745.05,1353471235
2026-08-18T09:30:00-04:00,7700.03,7713.94,7693.89,7702.98,1218207018
2026-08-18T13:30:00-04:00,7703.12,7705.43,7688.64,7691.75,1416699477
2026-08-19T09:30:00-04:00,7716.75,7743.94,7700.08,7715.31,1504255869
2026-08-19T13:30:00-04:00,7715.35,7724.51,7701.26,7707.97,1458953006
2026-08-20T09:30:00-04:00,7690.48,7699.95,7665.89,7666.06,1304224509
2026-08-20T13:30:00-04:00,7666.1,7668.47,7639.0,7641.15,1380836603
2026-08-21T09:30:00-04:00,7665.69,7697.1,7660.05,7677.0,1375244987
2026-08-21T13:30:00-04:00,7676.9,7686.29,7669.53,7674.36,1348606555
2026-08-24T09:30:00-04:00,7663.37,7670.31,7638.16,7652.02,1192207426
2026-08-24T13:30:00-04:00,7652.12,7668.87,7648.85,7652.85,1292922372
2026-08-25T09:30:00-04:00,7676.65,7686.1,7650.91,7665.79,1086320060
2026-08-25T13:30:00-04:00,7665.82,7680.55,7665.11,7677.27,1242690309
2026-08-26T09:30:00-04:00,7666.89,7688.37,7657.4,7673.94,1092471256
2026-08-26T13:30:00-04:00,7673.95,7690.74,7671.62,7675.69,1259747384
2026-08-27T09:30:00-04:00,7710.33,7741.26,7689.9,7735.13,1399309207
2026-08-27T13:30:00-04:00,7735.19,7738.48,7710.18,7730.98,1374807298
2026-08-28T09:30:00-04:00,7735.16,7771.47,7701.36,7707.08,1287731456
2026-08-28T13:30:00-04:00,7706.81,7716.15,7700.9,7711.75,1298140638
2026-08-31T09:30:00-04:00,7697.51,7697.51,7665.07,7672.38,1163367009
2026-08-31T13:30:00-04:00,7672.36,7696.32,7668.31,7686.13,2135373318
2026-09-01T09:30:00-04:00,7635.46,7663.64,7626.1,7633.15,1272002407
2026-09-01T13:30:00-04:00,7633.15,7638.54,7611.21,7631.46,1461228335
2026-09-02T09:30:00-04:00,7634.57,7681.2,7633.63,7663.07,1293194874
2026-09-02T13:30:00-04:00,7663.36,7676.73,7660.03,7666.59,1407525490
2026-09-03T09:30:00-04:00,7686.7,7749.69,7686.7,7742.63,1310460787
2026-09-03T13:30:00-04:00,7742.63,7756.77,7742.56,7747.7,1368648791
2026-09-04T09:30:00-04:00,7750.18,7750.18,7706.11,7714.15,1248621420
2026-09-04T13:30:00-04:00,7714.14,7720.02,7707.0,7718.59,1277058467
2026-09-08T09:30:00-04:00,7717.8,7717.8,7675.7,7689.91,1369346018
2026-09-08T13:30:00-04:00,7689.99,7694.22,7666.98,7673.51,1525947543
2026-09-09T09:30:00-04:00,7660.67,7660.67,7624.15,7643.75,1295248632
2026-09-09T13:30:00-04:00,7643.88,7648.71,7634.97,7636.35,1436527140
2026-09-10T09:30:00-04:00,7594.73,7612.87,7580.07,7599.4,1325368577
2026-09-10T13:30:00-04:00,7599.17,7600.8,7585.98,7591.69,1406068665
2026-09-11T09:30:00-04:00,7636.74,7677.03,7636.74,7673.41,1252561406
2026-09-11T13:30:00-04:00,7673.44,7675.47,7654.89,7656.97,1396985386
2026-09-14T09:30:00-04:00,7611.43,7648.0,7592.29,7639.78,1399227533
2026-09-14T13:30:00-04:00,7639.82,7641.67,7619.01,7619.97,1476934334
2026-09-15T09:30:00-04:00,7612.29,7617.27,7572.68,7579.65,1294850223
2026-09-15T13:30:00-04:00,7579.63,7590.52,7576.79,7585.72,1485774948
2026-09-16T09:30:00-04:00,7601.24,7626.78,7597.6,7610.37,1124381841
2026-09-16T13:30:00-04:00,7610.41,7622.78,7507.78,7551.8,1773192292
2026-09-17T09:30:00-04:00,7631.43,7646.61,7611.82,7631.45,1350249343
2026-09-17T13:30:00-04:00,7631.59,7646.85,7630.28,7637.75,1526199534
2026-09-18T09:30:00-04:00,7657.16,7657.16,7610.53,7624.64,1545099033
2026-09-18T13:30:00-04:00,7624.65,7651.39,7622.81,7650.49,4208733823
2026-09-21T09:30:00-04:00,7692.82,7760.09,7691.18,7758.11,1555276951
2026-09-21T13:30:00-04:00,7758.26,7779.23,7753.15,7764.69,1705850937
2026-09-22T09:30:00-04:00,7770.8,7782.2,7756.27,7765.38,1435447716
2026-09-22T13:30:00-04:00,7765.42,7779.22,7761.14,7764.63,1702352117
2026-09-23T09:30:00-04:00,7761.93,7761.93,7694.9,7702.86,1424783832
2026-09-23T13:30:00-04:00,7702.97,7719.92,7695.53,7706.02,1529302189
2026-09-24T09:30:00-04:00,7666.98,7719.0,7662.58,7702.52,1438253511
2026-09-24T13:30:00-04:00,7702.57,7712.98,7686.76,7704.12,1462656657
2026-09-25T09:30:00-04:00,7709.85,7749.31,7693.07,7742.85,1302332972
2026-09-25T13:30:00-04:00,7742.81,7752.08,7731.8,7743.4,1310492472
