Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
114,Exit long,2026-09-11 09:00,Exit Long,4402.27,1,4390.23,12.04,0.27,0,12.3,0.28,-9.65,-0.22,1536.44,1.54,1
114,Entry long,2026-09-11 08:00,Long,4390.23,1,4390.23,12.04,0.27,0,12.3,0.28,-9.65,-0.22,1536.44,1.54,1
115,Exit short,2026-09-15 20:00,Exit Short,4275.7,1,4283.46,7.76,0.18,0,7.94,0.19,-2.78,-0.06,1544.2,1.54,1
115,Entry short,2026-09-15 19:00,Short,4283.46,1,4283.46,7.76,0.18,0,7.94,0.19,-2.78,-0.06,1544.2,1.54,1
116,Exit long,2026-09-21 19:00,Exit Long,4370.48,1,4361.07,9.41,0.22,0,9.59,0.22,-2.85,-0.07,1553.61,1.55,1
116,Entry long,2026-09-21 18:00,Long,4361.07,1,4361.07,9.41,0.22,0,9.59,0.22,-2.85,-0.07,1553.61,1.55,1
117,Exit long,2026-09-22 14:00,Exit Long,4360.46,1,4350.85,9.61,0.22,0,9.82,0.23,-3.2,-0.07,1563.22,1.56,1
117,Entry long,2026-09-22 13:00,Long,4350.85,1,4350.85,9.61,0.22,0,9.82,0.23,-3.2,-0.07,1563.22,1.56,1
118,Exit short,2026-09-23 00:00,EOD,4344.22,1,4334.02,-10.2,-0.24,0,0.71,0.02,-13.31,-0.31,1553.02,1.55,2
118,Entry short,2026-09-22 22:00,Short,4334.02,1,4334.02,-10.2,-0.24,0,0.71,0.02,-13.31,-0.31,1553.02,1.55,2
119,Exit short,Open,Open,—,1,4265,-13.53,-0.32,0,0.61,0.01,-16.04,-0.38,1539.49,1.54,1
119,Entry short,2026-09-24 19:00,Short,4265,1,4265,-13.53,-0.32,0,0.61,0.01,-16.04,-0.38,1539.49,1.54,1
