Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
42,Exit short,2026-02-02 09:00,Exit Short,4681.17,1,4706.2,25.03,0.53,0,26.1,0.55,-0.08,0.00,331.39,0.33,1
42,Entry short,2026-02-02 08:00,Short,4706.2,1,4706.2,25.03,0.53,0,26.1,0.55,-0.08,0.00,331.39,0.33,1
43,Exit long,2026-02-04 20:00,Exit Long,5011.61,1,5006.84,4.77,0.10,0,5.26,0.11,-0.05,0.00,336.16,0.34,1
43,Entry long,2026-02-04 19:00,Long,5006.84,1,5006.84,4.77,0.10,0,5.26,0.11,-0.05,0.00,336.16,0.34,1
44,Exit short,2026-02-04 21:00,Exit Short,4805.9,1,4936.05,130.15,2.64,0,130.66,2.65,-25.86,-0.52,466.31,0.47,1
44,Entry short,2026-02-04 20:00,Short,4936.05,1,4936.05,130.15,2.64,0,130.66,2.65,-25.86,-0.52,466.31,0.47,1
45,Exit long,2026-02-10 20:00,Exit Long,5052.73,1,5037.91,14.82,0.29,0,15.11,0.30,-7.11,-0.14,481.13,0.48,1
45,Entry long,2026-02-10 19:00,Long,5037.91,1,5037.91,14.82,0.29,0,15.11,0.30,-7.11,-0.14,481.13,0.48,1
46,Exit short,2026-02-13 05:00,Exit Short,4947.6,1,4970.3,22.7,0.46,0,23.03,0.46,-10.41,-0.21,503.83,0.50,1
46,Entry short,2026-02-13 04:00,Short,4970.3,1,4970.3,22.7,0.46,0,23.03,0.46,-10.41,-0.21,503.83,0.50,1
47,Exit long,2026-02-16 05:00,Exit Long,5017.02,1,5013.59,3.43,0.07,0,3.71,0.07,-0.05,0.00,507.26,0.51,1
47,Entry long,2026-02-16 04:00,Long,5013.59,1,5013.59,3.43,0.07,0,3.71,0.07,-0.05,0.00,507.26,0.51,1
48,Exit long,2026-02-24 21:00,Exit Long,5193.63,1,5176.93,16.7,0.32,0,16.98,0.33,-10.29,-0.20,523.96,0.52,1
48,Entry long,2026-02-24 20:00,Long,5176.93,1,5176.93,16.7,0.32,0,16.98,0.33,-10.29,-0.20,523.96,0.52,1
49,Exit long,2026-02-25 23:00,Exit Long,5199.02,1,5192.73,6.29,0.12,0,6.54,0.13,-2.26,-0.04,530.25,0.53,1
49,Entry long,2026-02-25 22:00,Long,5192.73,1,5192.73,6.29,0.12,0,6.54,0.13,-2.26,-0.04,530.25,0.53,1
50,Exit long,2026-02-26 15:00,Exit Long,5200.81,1,5187.12,13.69,0.26,0,13.95,0.27,-0.25,0.00,543.94,0.54,1
50,Entry long,2026-02-26 14:00,Long,5187.12,1,5187.12,13.69,0.26,0,13.95,0.27,-0.25,0.00,543.94,0.54,1
51,Exit long,2026-02-27 08:00,Exit Long,5240.41,1,5187.66,52.75,1.02,0,52.95,1.02,-0.83,-0.02,596.69,0.60,1
51,Entry long,2026-02-27 07:00,Long,5187.66,1,5187.66,52.75,1.02,0,52.95,1.02,-0.83,-0.02,596.69,0.60,1
52,Exit long,2026-03-02 20:00,Exit Long,5379.58,1,5350.38,29.2,0.55,0,29.51,0.55,-12.11,-0.23,625.89,0.63,1
52,Entry long,2026-03-02 19:00,Long,5350.38,1,5350.38,29.2,0.55,0,29.51,0.55,-12.11,-0.23,625.89,0.63,1
53,Exit short,2026-03-06 05:00,Exit Short,5076.05,1,5085.72,9.67,0.19,0,9.95,0.20,-7.18,-0.14,635.56,0.64,1
53,Entry short,2026-03-06 04:00,Short,5085.72,1,5085.72,9.67,0.19,0,9.95,0.20,-7.18,-0.14,635.56,0.64,1
54,Exit short,2026-03-12 10:00,Exit Short,5138.66,1,5151.33,12.67,0.25,0,12.91,0.25,-12.32,-0.24,648.23,0.65,1
54,Entry short,2026-03-12 09:00,Short,5151.33,1,5151.33,12.67,0.25,0,12.91,0.25,-12.32,-0.24,648.23,0.65,1
55,Exit short,2026-03-13 10:00,Exit Short,5036.29,1,5101.81,65.52,1.28,0,65.75,1.29,-6.16,-0.12,713.75,0.71,1
55,Entry short,2026-03-13 09:00,Short,5101.81,1,5101.81,65.52,1.28,0,65.75,1.29,-6.16,-0.12,713.75,0.71,1
56,Exit short,2026-03-16 11:00,Exit Short,4984.23,1,4996.03,11.8,0.24,0,12.09,0.24,-9.69,-0.19,725.55,0.73,1
56,Entry short,2026-03-16 10:00,Short,4996.03,1,4996.03,11.8,0.24,0,12.09,0.24,-9.69,-0.19,725.55,0.73,1
57,Exit short,2026-03-16 20:00,Exit Short,4998.47,1,5002.27,3.8,0.08,0,4.06,0.08,-13.31,-0.27,729.35,0.73,2
57,Entry short,2026-03-16 18:00,Short,5002.27,1,5002.27,3.8,0.08,0,4.06,0.08,-13.31,-0.27,729.35,0.73,2
58,Exit short,2026-03-23 22:00,Exit Short,4306.45,1,4322.12,15.67,0.36,0,16.38,0.38,-0.08,0.00,745.02,0.75,1
58,Entry short,2026-03-23 21:00,Short,4322.12,1,4322.12,15.67,0.36,0,16.38,0.38,-0.08,0.00,745.02,0.75,1
59,Exit short,2026-03-25 16:00,Exit Short,4495.19,1,4530.88,35.69,0.79,0,36.08,0.80,-11.24,-0.25,780.71,0.78,1
59,Entry short,2026-03-25 15:00,Short,4530.88,1,4530.88,35.69,0.79,0,36.08,0.80,-11.24,-0.25,780.71,0.78,1
60,Exit short,2026-03-27 07:00,Exit Short,4404.73,1,4414.76,10.03,0.23,0,10.36,0.23,-0.08,0.00,790.74,0.79,1
60,Entry short,2026-03-27 06:00,Short,4414.76,1,4414.76,10.03,0.23,0,10.36,0.23,-0.08,0.00,790.74,0.79,1
61,Exit short,2026-03-30 15:00,Exit Short,4493.44,1,4498.98,5.54,0.12,0,5.87,0.13,-0.07,0.00,796.28,0.80,1
61,Entry short,2026-03-30 14:00,Short,4498.98,1,4498.98,5.54,0.12,0,5.87,0.13,-0.07,0.00,796.28,0.80,1
62,Exit long,2026-03-30 21:00,Exit Long,4619.07,1,4547.73,71.34,1.57,0,71.67,1.58,-15.5,-0.34,867.62,0.87,1
62,Entry long,2026-03-30 20:00,Long,4547.73,1,4547.73,71.34,1.57,0,71.67,1.58,-15.5,-0.34,867.62,0.87,1
63,Exit long,2026-04-02 15:00,Exit Long,4681.43,1,4668.64,12.79,0.27,0,13.18,0.28,-7.08,-0.15,880.41,0.88,1
63,Entry long,2026-04-02 14:00,Long,4668.64,1,4668.64,12.79,0.27,0,13.18,0.28,-7.08,-0.15,880.41,0.88,1
64,Exit long,2026-04-09 07:00,Exit Long,4757.15,1,4741.19,15.96,0.34,0,16.22,0.34,-2.72,-0.06,896.37,0.90,1
64,Entry long,2026-04-09 06:00,Long,4741.19,1,4741.19,15.96,0.34,0,16.22,0.34,-2.72,-0.06,896.37,0.90,1
65,Exit long,2026-04-13 13:00,Exit Long,4749.86,1,4733.16,16.7,0.35,0,16.95,0.36,-7.61,-0.16,913.07,0.91,1
65,Entry long,2026-04-13 12:00,Long,4733.16,1,4733.16,16.7,0.35,0,16.95,0.36,-7.61,-0.16,913.07,0.91,1
66,Exit long,2026-04-15 13:00,Max Bars Exit,4792.61,1,4829,-36.39,-0.75,0,1.56,0.03,-42.01,-0.87,876.68,0.88,4
66,Entry long,2026-04-15 09:00,Long,4829,1,4829,-36.39,-0.75,0,1.56,0.03,-42.01,-0.87,876.68,0.88,4
67,Exit long,2026-04-15 20:00,Exit Long,4837.53,1,4823.52,14.01,0.29,0,14.21,0.29,-2.56,-0.05,890.69,0.89,1
67,Entry long,2026-04-15 19:00,Long,4823.52,1,4823.52,14.01,0.29,0,14.21,0.29,-2.56,-0.05,890.69,0.89,1
68,Exit long,2026-04-16 09:00,Exit Long,4823.8,1,4822.21,1.59,0.03,0,1.77,0.04,-10.53,-0.22,892.28,0.89,2
68,Entry long,2026-04-16 07:00,Long,4822.21,1,4822.21,1.59,0.03,0,1.77,0.04,-10.53,-0.22,892.28,0.89,2
69,Exit long,2026-04-17 09:00,Exit Long,4889.22,1,4846.53,42.69,0.88,0,42.9,0.89,-11.46,-0.24,934.97,0.93,1
69,Entry long,2026-04-17 08:00,Long,4846.53,1,4846.53,42.69,0.88,0,42.9,0.89,-11.46,-0.24,934.97,0.93,1
70,Exit long,2026-04-20 09:00,Exit Long,4826.11,1,4803.5,22.61,0.47,0,22.84,0.48,-3.76,-0.08,957.58,0.96,1
70,Entry long,2026-04-20 08:00,Long,4803.5,1,4803.5,22.61,0.47,0,22.84,0.48,-3.76,-0.08,957.58,0.96,1
71,Exit short,2026-04-22 09:00,Exit Short,4736.69,1,4744.24,7.55,0.16,0,7.75,0.16,-0.06,0.00,965.13,0.97,1
71,Entry short,2026-04-22 08:00,Short,4744.24,1,4744.24,7.55,0.16,0,7.75,0.16,-0.06,0.00,965.13,0.97,1
72,Exit short,2026-04-27 06:00,Exit Short,4699.73,1,4703.58,3.85,0.08,0,4.04,0.09,-0.06,0.00,968.98,0.97,1
72,Entry short,2026-04-27 05:00,Short,4703.58,1,4703.58,3.85,0.08,0,4.04,0.09,-0.06,0.00,968.98,0.97,1
73,Exit long,2026-05-01 10:00,Exit Long,4659.99,1,4625.79,34.2,0.74,0,34.42,0.74,-0.05,0.00,1003.18,1.00,1
73,Entry long,2026-05-01 09:00,Long,4625.79,1,4625.79,34.2,0.74,0,34.42,0.74,-0.05,0.00,1003.18,1.00,1
74,Exit long,2026-05-11 10:00,Exit Long,4738.3,1,4736.23,2.07,0.04,0,2.32,0.05,-0.11,0.00,1005.25,1.01,1
74,Entry long,2026-05-11 09:00,Long,4736.23,1,4736.23,2.07,0.04,0,2.32,0.05,-0.11,0.00,1005.25,1.01,1
75,Exit long,2026-05-12 16:00,Exit Long,4719.13,1,4715.75,3.38,0.07,0,3.61,0.08,-3.51,-0.07,1008.63,1.01,1
75,Entry long,2026-05-12 15:00,Long,4715.75,1,4715.75,3.38,0.07,0,3.61,0.08,-3.51,-0.07,1008.63,1.01,1
76,Exit long,2026-05-13 19:00,Exit Long,4702.02,1,4700.22,1.8,0.04,0,1.98,0.04,-0.05,0.00,1010.43,1.01,1
76,Entry long,2026-05-13 18:00,Long,4700.22,1,4700.22,1.8,0.04,0,1.98,0.04,-0.05,0.00,1010.43,1.01,1
