Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-11-03 22:00,Exit Short,3967.15,1,3986.73,19.58,0.49,0,19.96,0.50,-12.58,-0.32,19.58,0.02,1
1,Entry short,2025-11-03 18:00,Short,3986.73,1,3986.73,19.58,0.49,0,19.96,0.50,-12.58,-0.32,19.58,0.02,1
2,Exit long,2025-11-19 02:00,Exit Long,4118.72,1,4091.1,27.62,0.68,0,28,0.68,-12.72,-0.31,47.2,0.05,1
2,Entry long,2025-11-18 22:00,Long,4091.1,1,4091.1,27.62,0.68,0,28,0.68,-12.72,-0.31,47.2,0.05,1
3,Exit short,2025-11-20 02:00,Exit Short,4039.31,1,4068.37,29.06,0.71,0,29.46,0.72,-8.26,-0.20,76.26,0.08,1
3,Entry short,2025-11-19 22:00,Short,4068.37,1,4068.37,29.06,0.71,0,29.46,0.72,-8.26,-0.20,76.26,0.08,1
4,Exit long,2025-11-24 10:00,Exit Long,4125.41,1,4081.49,43.92,1.08,0,44.3,1.09,-0.23,-0.01,120.18,0.12,1
4,Entry long,2025-11-24 06:00,Long,4081.49,1,4081.49,43.92,1.08,0,44.3,1.09,-0.23,-0.01,120.18,0.12,1
5,Exit long,2025-12-04 22:00,Exit Long,4228.97,1,4207.39,21.58,0.51,0,21.86,0.52,-5.5,-0.13,141.76,0.14,1
5,Entry long,2025-12-04 18:00,Long,4207.39,1,4207.39,21.58,0.51,0,21.86,0.52,-5.5,-0.13,141.76,0.14,1
6,Exit long,2025-12-09 14:00,Exit Long,4215.83,1,4209.09,6.74,0.16,0,7,0.17,-1.85,-0.04,148.5,0.15,1
6,Entry long,2025-12-09 10:00,Long,4209.09,1,4209.09,6.74,0.16,0,7,0.17,-1.85,-0.04,148.5,0.15,1
7,Exit long,2025-12-10 18:00,Exit Long,4247.5,1,4228.63,18.87,0.45,0,19.13,0.45,-7.99,-0.19,167.37,0.17,1
7,Entry long,2025-12-10 14:00,Long,4228.63,1,4228.63,18.87,0.45,0,19.13,0.45,-7.99,-0.19,167.37,0.17,1
