tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
btc15s,pct,0.1,1.0,3,0.5,off,none,latch,pivot,13,3,10,0.6153846153846154,271.54671999999846,0.0,271.54671999999846,0.0,1.6756563680927938,0.24760854979875754,176.59445999999298,29.615384615384617,0.6153846153846154,0.3076923076923077,0.0,0.07692307692307693,0.0,20.888209230769114
btc15s,pct,0.1,1.0,3,0.5,off,none,latch,pivot+don20,17,8,9,0.5294117647058824,110.98960999997507,0.0,110.98960999997507,0.0,1.1717261992437749,0.07765204341328111,168.77564000000712,25.58823529411765,0.5294117647058824,0.4117647058823529,0.0,0.058823529411764705,0.0,6.528800588233828
btc15s,pct,0.1,1.0,3,0.5,off,vt_btc,latch,pivot,15,5,10,0.6,535.3921399999963,325.5,209.8921399999963,0.25858391756748517,1.383229252599014,0.16553351588759868,149.432369999995,25.333333333333332,0.6,0.3333333333333333,0.0,0.06666666666666667,0.0,13.992809333333087
btc15s,pct,0.1,1.0,3,0.5,off,vt_btc,latch,pivot+don20,18,10,8,0.4444444444444444,160.2765799999761,434.0,-273.7234200000239,0.30269970473527463,0.7108791025525438,-0.18072848475389514,495.13909000002604,24.61111111111111,0.4444444444444444,0.5,0.0,0.05555555555555555,0.0,-15.206856666667996
btc15s,pct,0.1,1.0,3,0.5,off,mexc,latch,pivot,14,4,10,0.5714285714285714,266.10096999998495,521.0403304260001,-254.9393604260151,0.46489341825132374,0.6131826743460429,-0.21719961371000474,310.0944454279961,27.285714285714285,0.5714285714285714,0.35714285714285715,0.0,0.07142857142857142,0.0,-18.209954316143936
btc15s,pct,0.1,1.0,3,0.5,off,mexc,latch,pivot+don20,18,9,9,0.5,107.06627999998454,673.24636716,-566.1800871600154,0.46349512469341747,0.4452367123610024,-0.37387879379377653,596.6313893940096,24.333333333333332,0.5,0.4444444444444444,0.0,0.05555555555555555,0.0,-31.454449286667526
btc15s,pct,0.1,1.0,3,0.5,bar,none,latch,pivot,34,13,21,0.7647058823529411,897.8469083553209,0.0,897.8469083553209,0.0,7.5904840976108545,0.31373121335170606,84.33838000000105,8.0,0.23529411764705882,0.029411764705882353,0.7058823529411765,0.029411764705882353,0.029411764705882353,26.407262010450616
btc15s,pct,0.1,1.0,3,0.5,bar,none,latch,pivot+don20,40,16,24,0.825,1208.7248362572573,0.0,1208.7248362572573,0.0,10.169441691497262,0.359129766665257,84.33838000000105,8.05,0.25,0.025,0.7,0.025,0.05,30.21812090643143
btc15s,pct,0.1,1.0,3,0.5,bar,vt_btc,latch,pivot,25,8,17,0.4,292.6520042887714,682.0,-389.3479957112286,0.49062705064899576,0.5743906985386128,-0.1855460626337564,389.3479957112286,13.0,0.24,0.32,0.4,0.04,0.04,-15.573919828449142
btc15s,pct,0.1,1.0,3,0.5,bar,vt_btc,latch,pivot+don20,31,12,19,0.45161290322580644,740.4631816516194,852.5,-112.03681834838062,0.5450291925306546,0.854852036147573,-0.043085990951312776,278.57381329759664,12.161290322580646,0.22580645161290322,0.1935483870967742,0.5483870967741935,0.03225806451612903,0.06451612903225806,-3.614090914463891
btc15s,pct,0.1,1.0,3,0.5,bar,mexc,latch,pivot,33,13,20,0.30303030303030304,780.9201888136886,1255.5600239832916,-474.63983516960303,1.0415554801007472,0.469609011266079,-0.17119142551390001,532.5881773063156,8.363636363636363,0.24242424242424243,0.06060606060606061,0.6666666666666666,0.030303030303030304,0.030303030303030304,-14.383025308169788
btc15s,pct,0.1,1.0,3,0.5,bar,mexc,latch,pivot+don20,39,16,23,0.3076923076923077,1094.3006167156273,1482.4742560753632,-388.173639359736,0.9817573600777846,0.571923818169241,-0.11841740230879619,512.6545367518993,8.435897435897436,0.2564102564102564,0.05128205128205128,0.6666666666666666,0.02564102564102564,0.05128205128205128,-9.95317023999323
