tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
240,pct,0.1,1.0,3,0.5,off,none,latch,pivot,68,37,31,0.9411764705882353,4085.061750000008,0.0,4085.061750000008,0.0,17.357243484560243,0.882352941176473,63.607459999999264,0.014705882352941176,0.9411764705882353,0.058823529411764705,0.0,0.0,0.9852941176470589,60.074437500000116
240,pct,0.1,1.0,3,0.5,off,none,latch,don5,108,60,48,0.9351851851851852,6357.426989999964,0.0,6357.426989999964,0.0,14.320690436861733,0.8703703703703651,79.30275000000256,0.018518518518518517,0.9351851851851852,0.06481481481481481,0.0,0.0,0.9814814814814815,58.86506472222189
240,pct,0.1,1.0,3,0.5,off,none,latch,don10,92,50,42,0.9347826086956522,5439.856820000001,0.0,5439.856820000001,0.0,14.160227323750767,0.8695652173913047,79.37879000000248,0.0,0.9347826086956522,0.06521739130434782,0.0,0.0,1.0,59.12887847826088
240,pct,0.1,1.0,3,0.5,off,none,latch,don20,70,42,28,0.9428571428571428,4229.079180000015,0.0,4229.079180000015,0.0,17.494802596324497,0.8857142857142889,65.3217500000028,0.0,0.9428571428571428,0.05714285714285714,0.0,0.0,1.0,60.41541685714307
240,pct,0.1,1.0,3,0.5,off,none,latch,don50,43,27,16,0.9302325581395349,2609.9939599999852,0.0,2609.9939599999852,0.0,14.56842332580585,0.8604651162790655,65.3217500000028,0.023255813953488372,0.9302325581395349,0.06976744186046512,0.0,0.0,0.9767441860465116,60.697533953488026
240,pct,0.1,1.0,3,0.5,off,none,hold,pivot,74,38,36,0.9324324324324325,4384.732260000012,0.0,4384.732260000012,0.0,14.325712829369687,0.8648648648648676,79.30275000000256,0.013513513513513514,0.9324324324324325,0.06756756756756757,0.0,0.0,0.9864864864864865,59.25313864864881
240,pct,0.1,1.0,3,0.5,off,none,hold,don5,155,91,64,0.9161290322580645,8889.87500999993,0.0,8889.87500999993,0.0,10.834873808940022,0.8322580645161229,79.61179999999877,0.025806451612903226,0.9161290322580645,0.08387096774193549,0.0,0.0,0.9741935483870968,57.354032322580196
240,pct,0.1,1.0,3,0.5,off,none,hold,don10,115,66,49,0.9391304347826087,6922.85116999998,0.0,6922.85116999998,0.0,15.505163345730592,0.8782608695652152,79.37879000000248,0.0,0.9391304347826087,0.06086956521739131,0.0,0.0,1.0,60.19870582608678
240,pct,0.1,1.0,3,0.5,off,none,hold,don20,77,46,31,0.935064935064935,4593.612140000019,0.0,4593.612140000019,0.0,15.4053314512625,0.8701298701298742,65.3217500000028,0.0,0.935064935064935,0.06493506493506493,0.0,0.0,1.0,59.65730051948077
240,pct,0.1,1.0,3,0.5,off,none,hold,don50,45,29,16,0.9333333333333333,2754.369809999982,0.0,2754.369809999982,0.0,15.318981633926615,0.8666666666666616,65.3217500000028,0.022222222222222223,0.9333333333333333,0.06666666666666667,0.0,0.0,0.9777777777777777,61.2082179999996
