tf,sl_mode,sl_value,tp_r,barsN,buf_atr,trail,cost_preset,arm_mode,levels,n_trades,n_long,n_short,win_rate,gross_pnl,total_cost,net_pnl,cost_to_gross_ratio,profit_factor_net,expectancy_R,max_drawdown_net,avg_bars_held,exit_tp,exit_sl,exit_trail,exit_end,same_bar_exit_share,avg_net_per_trade
xau15,pct,0.1,1.0,3,0.5,off,gold_none,latch,pivot,162,80,82,0.5802469135802469,109.44761000000108,0.0,109.44761000000108,0.0,1.368583567582936,0.15487213391189034,30.262174999996205,0.6419753086419753,0.5802469135802469,0.41975308641975306,0.0,0.0,0.5,0.6756025308642042
xau15,pct,0.1,1.0,3,0.5,off,gold_none,latch,don5,241,116,125,0.5352697095435685,69.10211000000345,0.0,69.10211000000345,0.0,1.1409743849917653,0.0652767539816991,66.7691049999994,0.7676348547717843,0.5352697095435685,0.46473029045643155,0.0,0.0,0.43983402489626555,0.2867307468879811
xau15,pct,0.1,1.0,3,0.5,off,gold_none,latch,don10,199,89,110,0.5979899497487438,166.61052500000005,0.0,166.61052500000005,0.0,1.4768821030569013,0.19140344569711554,30.400464999998803,0.6683417085427136,0.5979899497487438,0.4020100502512563,0.0,0.0,0.5025125628140703,0.8372388190954777
xau15,pct,0.1,1.0,3,0.5,off,gold_none,latch,don20,163,70,93,0.588957055214724,123.3621200000025,0.0,123.3621200000025,0.0,1.4223515225474854,0.172326906096482,21.831550000002608,0.5766871165644172,0.588957055214724,0.4110429447852761,0.0,0.0,0.5766871165644172,0.7568228220859049
xau15,pct,0.1,1.0,3,0.5,off,gold_none,latch,don50,102,39,63,0.5490196078431373,43.475085000001854,0.0,43.475085000001854,0.0,1.2167139760202492,0.09803921568627878,39.51209500001278,0.49019607843137253,0.5490196078431373,0.45098039215686275,0.0,0.0,0.5980392156862745,0.42622632352942996
xau15,pct,0.1,1.0,3,0.5,off,gold_none,hold,pivot,179,87,92,0.5754189944134078,105.13438500000211,0.0,105.13438500000211,0.0,1.3084209443204395,0.13457540694465714,36.15717500000028,0.6759776536312849,0.5754189944134078,0.4245810055865922,0.0,0.0,0.4860335195530726,0.5873429329609057
xau15,pct,0.1,1.0,3,0.5,off,gold_none,hold,don5,300,141,159,0.54,92.69369000000279,0.0,92.69369000000279,0.0,1.1516332028094867,0.07109036448898304,53.6683950000006,0.8066666666666666,0.5433333333333333,0.45666666666666667,0.0,0.0,0.44333333333333336,0.30897896666667596
xau15,pct,0.1,1.0,3,0.5,off,gold_none,hold,don10,236,108,128,0.5847457627118644,170.9926800000003,0.0,170.9926800000003,0.0,1.399761797230175,0.16555418302474056,47.83712999999989,0.7076271186440678,0.5847457627118644,0.4152542372881356,0.0,0.0,0.5042372881355932,0.7245452542372893
xau15,pct,0.1,1.0,3,0.5,off,gold_none,hold,don20,178,78,100,0.5898876404494382,136.4184200000027,0.0,136.4184200000027,0.0,1.4286381821533933,0.17465890839172252,26.221394999985932,0.5898876404494382,0.5898876404494382,0.4101123595505618,0.0,0.0,0.5842696629213483,0.7663956179775433
xau15,pct,0.1,1.0,3,0.5,off,gold_none,hold,don50,104,39,65,0.5480769230769231,43.36107500000253,0.0,43.36107500000253,0.0,1.211438577591999,0.09615384615385181,39.512094999998226,0.49038461538461536,0.5480769230769231,0.4519230769230769,0.0,0.0,0.5961538461538461,0.41693341346156276
xau15,pct,0.1,1.0,3,0.5,off,gold_raw,latch,pivot,162,80,82,0.5740740740740741,110.86650499999632,38.595,72.27150499999641,0.05488440760003819,1.2275842524423828,0.10225596476080592,38.56239999999525,0.6481481481481481,0.5740740740740741,0.42592592592592593,0.0,0.0,0.5,0.4461204012345457
xau15,pct,0.1,1.0,3,0.5,off,gold_raw,latch,don5,242,116,126,0.5206611570247934,55.41295500000069,59.27,-3.857044999999175,0.05628808975597939,0.9927870843677176,-0.004082252852959261,76.63021000000299,0.7603305785123967,0.5206611570247934,0.4793388429752066,0.0,0.0,0.4380165289256198,-0.015938202479335434
xau15,pct,0.1,1.0,3,0.5,off,gold_raw,latch,don10,199,89,110,0.5879396984924623,161.41566999999304,47.065,114.35066999999316,0.054348658893001375,1.3027524524327114,0.13137291339873322,41.8360299999913,0.6733668341708543,0.5879396984924623,0.4120603015075377,0.0,0.0,0.5025125628140703,0.574626482412026
